word,meaning,category,domain,polarity,intensity,tone,morphology,ipa_original,ipa_clean,ipa_changed,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,rationale,flags,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
いじいじ,態度がはっきりせず、内向的にいじけるさま。,擬態語,その他,中立,清音・濁音,暗い・重い・大,畳語,idʑiidʑi,idʑiidʑi,0,4,3,2,9,3,5,200.0,1.75,5,600.0,3.04,4,c,2,#4B0082,20.5,51.7,-53.3,歯擦音による抑制(Flow 9)。内向的な運動ベクトルと粘性。,,4,5,6,1,REDUP(畳語・同一)
いそいそ,嬉しさや期待でいそいそと急ぐ様子。,擬態語,ダイナミクス・スピード・テンポ,中立,清音,明るい・軽い・小,畳語,isoiso,isoiso,0,2,7,7,2,8,2,600.0,4.54,4,3500.0,6.04,2,mh,5,#FFFACD,97.6,-5.4,22.2,摩擦音/s/の軽快な反復。Time 7の突発性と自由なFlow。,,4,5,6,1,REDUP(畳語・同一)
いちゃいちゃ,男女が仲睦まじく戯れる様子。,擬態語,その他,中立,清音,明るい・軽い・小,畳語,itɕaitɕa,itɕaitɕa,0,3,4,4,5,6,8,450.0,3.81,4,1500.0,4.6,6,hh,7,#FFC0CB,83.6,24.1,3.3,破擦音/tɕ/による接触感。高いMoistureと親密な温度。,,4,5,6,1,REDUP(畳語・同一)
いひひ,薄気味悪く、または企みを持って笑う声。,擬声語,味,中立,清音,明るい・軽い・小,単発・その他,içiçi,içiçi,0,2,6,6,7,8,4,750.0,5.1,5,2000.0,5.09,4,mc,3,#ADFF2F,92.0,-52.5,81.9,硬口蓋摩擦音/ç/による高周波。鋭い空間性と抑制された笑い。,,3,5,0,0,OTHER(単発)
いらいら,思うようにならず神経が高ぶる様子。,擬態語,その他,中立,清音,明るい・軽い・小,畳語,iɾaiɾa,iɾaiɾa,0,6,7,6,8,5,2,380.0,3.38,3,5000.0,6.65,5,h,6,#FF4500,57.6,67.8,69.0,弾き音の反復による内部圧力の上昇。摩擦(Re)が高い乱流状態。,,4,5,6,1,REDUP(畳語・同一)
うおーっ,叫び声や気合いの音。,擬声語・擬音語,その他,中立,清音,暗い・重い・大,促音・長音,uo:ʔ,uoːʔ,0,8,4,9,4,4,5,120.0,0.46,8,12000.0,8.13,9,h,6,#FF0000,53.2,80.1,67.2,低母音から声門閉鎖への強大なWeight。高い圧力変換効率。,,5,5,5,8,COMPOUND(複合・異種)
うおーん,遠くで響く咆哮や泣き声。,擬声語・擬音語,密集度・距離感,中立,清音,暗い・重い・大,撥音・長音,uo:n,uoːŋ,1,7,2,4,2,5,6,110.0,0.24,1,800.0,3.53,3,mh,5,#4682B4,52.5,-4.1,-32.2,重い共鳴と持続。低周波(110Hz)による遠距離到達性。,,5,5,5,8,COMPOUND(複合・異種)
うかうか,油断してうっかり過ごす様子。,擬態語,その他,中立,清音,暗い・重い・大,畳語,ukauka,ukauka,0,1,5,2,1,9,2,400.0,3.51,3,1000.0,3.91,1,0,4,#F5F5F5,96.5,-0.0,0.0,無声破裂音/k/を含むが、非常に軽いWeightと自由なFlow。,,4,5,6,1,REDUP(畳語・同一)
うきうき,心が弾んで軽やかで楽しげなさま。,擬態語・擬情語,感情,中立,清音,暗い・重い・大,畳語,ukiuki,ukiuki,0,2,7,6,0,8,3,550.0,4.32,5,2500.0,5.47,2,h,6,#FFFFE0,99.3,-5.1,14.8,上昇運動のSpace。高周波成分による浮揚感。,,4,5,6,1,REDUP(畳語・同一)
うじうじ,決断力がなく湿っぽく悩む様子。,擬態語,その他,中立,清音・濁音,暗い・重い・大,畳語,udʑiudʑi,udʑiudʑi,0,5,2,1,9,4,7,180.0,1.49,2,400.0,2.35,6,c,2,#556B2F,42.2,-18.8,30.6,有声歯擦音による低周波の抑制。粘性と停滞(Flow 9)。,,4,5,6,1,REDUP(畳語・同一)
うじゃうじゃ,小動物や虫などが無数に群がっている様子。,擬声語・擬音語・擬態語,生き物,中立,清音・濁音,暗い・重い・大,畳語,udʑaudʑa,udʑaudʑa,0,6,3,3,7,5,8,220.0,2.0,3,1800.0,4.91,8,mc,3,#8B4513,37.5,26.4,41.0,過密状態を示す高いMoistureと、複雑な干渉波(Re)。,,4,5,6,1,REDUP(畳語・同一)
うずうず,したいことが抑えきれず体や心が動く様子。,擬態語・擬情語,感情,中立,清音・濁音,暗い・重い・大,畳語,uzuzu,uzuuzu,1,5,6,7,9,3,4,250.0,2.32,4,3000.0,5.78,7,h,6,#DAA520,70.8,8.5,68.8,内部振動。強い抑制(Flow 9)と発散へのポテンシャル。,,4,5,6,1,REDUP(畳語・同一)
うっ,息や言葉が瞬間的に詰まる音・様子。,擬音語・擬態語,スピード・テンポ・人体・生理,中立,清音,暗い・重い・大,促音,uʔ,uʔ,0,7,9,9,9,1,1,300.0,2.78,9,10000.0,7.82,9,0,4,#000000,0.0,0.0,0.0,瞬時の停止。最大値のDecayと気圧圧縮(Bo 9)。,,2,5,0,0,Q(促音単発)
うっかり,注意が行き届かず、思わず過ちを犯すさま。,擬態語,その他,中立,清音,暗い・重い・大,促音・「り」変化,ukkaɾi,ukkaɾi,0,3,8,5,6,4,2,480.0,3.97,7,3500.0,6.04,5,0,4,#FFFFFF,100.0,-0.0,0.0,促音/kk/による急停止と、弾き音による忘却的散逸。,,5,5,5,8,COMPOUND(複合・異種)
うっすら,かすかに、薄く表れている様子。,擬態語,その他,中立,清音,暗い・重い・大,促音,ussuɾa,ussuɾa,0,2,3,2,4,8,3,420.0,3.63,3,900.0,3.73,2,c,2,#E6E6FA,91.8,3.7,-9.7,摩擦音/s/の層流。低いWeightと彩度。透明度が高い。,,5,5,5,8,COMPOUND(複合・異種)
うっとり,美しさや快感に見とれて我を忘れるさま。,擬態語,感情,中立,清音,暗い・重い・大,促音・「り」変化,uttoɾi,uttoɾi,0,3,2,4,0,6,6,350.0,3.17,4,800.0,3.53,4,hh,7,#DDA0DD,73.4,32.5,-22.0,持続的なFlow 0と高いMoisture。心地よい共鳴状態。,,5,5,5,8,COMPOUND(複合・異種)
うつらうつら,うとうとと微睡む様子。,擬態語,その他,中立,清音,暗い・重い・大,畳語,utsuɾautsuɾa,utsuɾautsuɾa,0,2,2,2,5,7,5,280.0,2.61,4,600.0,3.04,3,mc,3,#B0C4DE,78.5,-1.3,-15.2,周期的な低エネルギ運動。層流に近いRe数。,,4,5,6,1,REDUP(畳語・同一)
うとうと,浅い眠りに落ちかける様子。,擬態語,その他,中立,清音,暗い・重い・大,畳語,utouto,utouto,0,2,2,1,6,6,4,250.0,2.32,5,400.0,2.35,2,mc,3,#778899,55.9,-2.2,-11.1,さらに低いSpace直接性と、閉鎖的なFlow。,,4,5,6,1,REDUP(畳語・同一)
うねうね,曲がりくねって続く様子。,擬態語,その他,中立,清音,暗い・重い・大,畳語,unene,uneune,1,4,3,1,4,8,7,200.0,1.75,1,700.0,3.31,5,mc,3,#556B2F,42.2,-18.8,30.6,鼻音/n/による持続的な曲線運動。低Re数の粘性流。,,4,5,6,1,REDUP(畳語・同一)
うはうは,思いがけない幸運に大喜びする様子。,擬態語・擬情語,その他,中立,清音,暗い・重い・大,畳語,uçuçu,uhauha,1,3,6,5,0,9,5,450.0,3.81,3,2200.0,5.25,3,hh,7,#FFD700,86.9,-1.9,87.1,開放的なFlowと喜びの熱量(hh)。散逸的な流体。,,4,5,6,1,REDUP(畳語・同一)
うふふ,含み笑いをする声、女性などの静かな笑い。,擬声語,静寂表現,中立,清音,暗い・重い・大,単発・その他,uɸuɸu,uɸuɸu,0,2,4,3,7,8,6,380.0,3.38,4,1200.0,4.22,4,mh,5,#FFF0F5,96.1,5.9,-0.6,唇の微細な摩擦による抑制。湿り気のある音響。,,3,5,0,0,OTHER(単発)
うようよ,気味の悪い小動物などが群がって動く様子。,擬声語・擬音語・擬態語,味・生き物,不快,清音,暗い・重い・大,畳語,ujoujo,ujoujo,0,5,3,2,6,6,8,180.0,1.49,2,1500.0,4.6,8,mc,3,#6B8E23,54.7,-28.2,49.7,半母音/j/の連続による不定形な運動。高Moisture。,,4,5,6,1,REDUP(畳語・同一)
うらうら,日の光がのどかに降り注ぐ様子。,擬態語,その他,中立,清音,暗い・重い・大,畳語,uɾauɾa,uɾauɾa,0,1,2,1,2,8,4,320.0,2.94,1,500.0,2.73,1,hh,7,#FFFACD,97.6,-5.4,22.2,弾き音の極めて軽いWeight。春の陽光のような温度感。,,4,5,6,1,REDUP(畳語・同一)
うろうろ,目的もなくあちこちを歩き回る様子。,擬態語,その他,中立,清音,暗い・重い・大,畳語,uɾouɾo,uɾouɾo,0,4,4,2,4,7,4,280.0,2.61,3,900.0,3.73,4,0,4,#A9A9A9,69.2,-0.0,0.0,目的のない（Space 2）徘徊運動。中庸の流体力学特性。,,4,5,6,1,REDUP(畳語・同一)
うろちょろ,小刻みにあちこち動き回って落ち着かないさま。,擬態語,ダイナミクス,中立,清音,暗い・重い・大,単発・その他,uɾotɕoɾo,uɾotɕoɾo,0,3,7,6,5,6,3,480.0,3.97,5,2800.0,5.66,5,mc,3,#9ACD32,76.5,-38.0,66.6,破擦音/tɕ/による細かい方向転換（Time 7）。,,5,5,5,8,COMPOUND(複合・異種)
うわーん,大声で泣き叫ぶ様子。,擬声語・擬態語,その他,中立,清音,暗い・重い・大,撥音・長音,uwa:n,uwaːŋ,1,7,4,6,3,5,8,400.0,3.51,1,1500.0,4.6,5,h,6,#1E90FF,59.4,10.0,-63.4,鼻音の共鳴と大振幅。感情の流出に伴う高Moisture。,,5,5,5,8,COMPOUND(複合・異種)
うん,うなずく声、または力を込める声。,擬声語,その他,中立,清音,暗い・重い・大,撥音,un,uŋ,1,4,5,7,6,3,5,150.0,1.03,5,400.0,2.35,6,mc,3,#808080,53.6,-0.0,0.0,閉鎖鼻音による確証。短いDurationと内部気圧。,,3,6,0,0,N(撥音単発)
うんうん,深く納得したり、苦しんで呻いたりする様子。,擬態語,静寂表現,中立,清音,暗い・重い・大,畳語・撥音,unun,uŋuŋ,1,3,4,4,5,4,6,160.0,1.19,4,300.0,1.87,5,mh,5,#A52A2A,37.5,49.7,30.5,肯定のリズム。低周波の反復による安定感。,,4,5,6,1,REDUP(畳語・同一)
うんざり,飽き飽きして嫌気が差すさま。,擬態語,その他,中立,清音・濁音,暗い・重い・大,撥音・「り」変化,unzaɾi,uŋzaɾi,1,7,3,4,8,4,6,220.0,2.0,6,800.0,3.53,7,c,2,#483D8B,30.8,26.1,-42.1,重いWeightと濁音の摩擦。精神的な飽和状態。,,5,5,5,8,COMPOUND(複合・異種)
うーん,腕組みをして悩み呻く声。,擬声語,その他,中立,清音,暗い・重い・大,撥音・長音,u:n,uːŋ,1,5,1,2,7,3,6,140.0,0.85,0,200.0,1.18,8,mc,3,#696969,44.4,-0.0,0.0,思考の停滞。極めて低いTime値と高い粘性。,,3,8,5,1,LONG+N(長音+ん)
えごえご,有声破裂音/ɡ/による不快な粘性と重さ。,擬声語・擬音語,テクスチャー・質量,中立,清音・濁音,暗い・重い・大,畳語,eɡoeɡo,eɡoeɡo,0,6,4,3,6,5,7,180.0,1.49,4,1100.0,4.07,6,c,2,#4B0082,20.5,51.7,-53.3,有声破裂音/ɡ/による不快な粘性と重さ。,,4,5,6,1,REDUP(畳語・同一)
えっさえっさ,労働のTime 8。摩擦音による熱産生。,擬音語,温度,中立,清音,明るい・軽い・小,畳語・促音,essaessa,essaessa,0,5,8,8,3,6,4,400.0,3.51,6,5000.0,6.65,4,h,6,#FF8C00,69.5,36.8,75.5,労働のTime 8（突発）。摩擦音による熱産生。,,4,5,6,1,REDUP(畳語・同一)
えっさっさ,促音の連続による高い時間的・空間的密度。,擬音語,スピード・テンポ・密集度・距離感・気象・自然,中立,清音,明るい・軽い・小,促音,essassa,essassa,0,4,9,9,4,5,3,450.0,3.81,8,6000.0,6.95,5,h,6,#FF4500,57.6,67.8,69.0,促音の連続による高い時間的・空間的密度。,,2,5,0,0,Q(促音単発)
えっちらおっちら,重い荷物などを苦労して運ぶ様子。,擬音語・擬態語,質量,中立,清音,暗い・重い・大,促音,etɕiɾaotɕiɾa,ettɕiɾaottɕiɾa,1,6,5,3,5,5,5,300.0,2.78,4,900.0,3.73,6,mh,5,#CD853F,61.8,21.4,47.9,重い荷を運ぶWeightと、不規則なリズムの弾き音。,,2,5,0,0,Q(促音単発)
えへへ,照れ笑いやごまかしの笑い声。,擬声語,その他,中立,清音,明るい・軽い・小,単発・その他,ehehe,ehehe,0,2,5,3,4,9,5,420.0,3.63,3,1200.0,4.22,2,h,6,#F0E68C,90.3,-9.0,45.0,照れを伴う流体笑い。中程度の温度感。,,3,5,0,0,OTHER(単発)
えへん,注意を引くための軽い咳払い。,擬態語,質量・人体・生理,中立,清音,明るい・軽い・小,撥音,ehen,eheŋ,1,5,6,7,7,4,4,200.0,1.75,6,1800.0,4.91,7,mc,3,#8B0000,28.1,51.0,41.3,咳払いによる喉の閉鎖。誇示的なSpace 7（直接）。,,3,6,0,0,N(撥音単発)
おいおい,大声で泣く声、または人に呼びかける声。,擬声語,その他,不快,清音,暗い・重い・大,畳語,oioi,oioi,0,4,4,4,3,6,7,280.0,2.61,4,700.0,3.31,4,mc,3,#4682B4,52.5,-4.1,-32.2,呼びかけと流涙の両義性。高いMoisture。,,4,5,6,1,REDUP(畳語・同一)
おずおず,恐る恐る躊躇しながら行動する様子。,擬態語,その他,中立,清音・濁音,暗い・重い・大,畳語,ozuozu,ozuozu,0,4,3,1,9,3,5,200.0,1.75,5,400.0,2.35,5,c,2,#708090,52.8,-2.1,-10.6,濁音の抑制(Flow 9)。自信のなさを表す低いSpace。,,4,5,6,1,REDUP(畳語・同一)
おたおた,慌て惑って狼狽する様子。,擬態語,その他,中立,清音,暗い・重い・大,畳語,otaota,otaota,0,4,7,3,6,6,3,380.0,3.38,6,1500.0,4.6,4,mc,3,#BDB76B,73.4,-8.8,39.3,狼狽による突発的な運動。あたふたに近い。,,4,5,6,1,REDUP(畳語・同一)
おちおち,落ち着いて安心して〜できない様子。,擬態語・擬情語,感情,快,清音,暗い・重い・大,畳語,otɕiotɕi,otɕiotɕi,0,3,4,4,7,6,6,400.0,3.51,5,1200.0,4.22,5,mc,3,#708090,52.8,-2.1,-10.6,破擦音による断続。落ち着きのなさをFlow 7で表現。,,4,5,6,1,REDUP(畳語・同一)
おっとり,落ち着いていて温厚・穏やかなさま。,擬態語,静寂表現,中立,清音,暗い・重い・大,促音・「り」変化,ottoɾi,ottoɾi,0,2,1,2,0,7,6,300.0,2.78,4,600.0,3.04,3,mh,5,#FFB6C1,81.1,28.0,5.0,低いTimeとSpace。自由なFlow（0）による余裕。,,5,5,5,8,COMPOUND(複合・異種)
おどおど,不安や恐怖で心身が震える様子。,擬態語・擬情語,感情,不快,清音・濁音,暗い・重い・大,畳語,odoodo,odoodo,0,6,4,2,9,4,5,180.0,1.49,5,400.0,2.35,6,c,2,#556B2F,42.2,-18.8,30.6,重い不安(Weight 6)と、強い抑制(Flow 9)。,,4,5,6,1,REDUP(畳語・同一)
おほほ,上品な女性の高らかな笑い声。,擬声語,その他,中立,清音,暗い・重い・大,単発・その他,ohoho,ohoho,0,3,5,8,4,9,4,350.0,3.17,3,1500.0,4.6,3,h,6,#EE82EE,69.7,56.4,-36.8,上品な指向性(Space 8)。完全な流体(Hardness 9)。,,3,5,0,0,OTHER(単発)
おぼおぼ,意識の混濁。高いMoistureと低い周波数。,擬音語,気象・自然,中立,清音・濁音,暗い・重い・大,畳語,oboobo,oboobo,0,6,3,2,6,5,8,160.0,1.19,4,800.0,3.53,7,mc,3,#4169E1,47.8,26.3,-65.3,意識の混濁。高いMoistureと低い周波数。,,4,5,6,1,REDUP(畳語・同一)
おめおめ,恥を恥とも思わず平然としているさま。,擬態語,その他,快,清音,暗い・重い・大,畳語,omeome,omeome,0,5,2,2,5,4,7,240.0,2.22,2,300.0,1.87,5,mc,3,#800000,25.5,48.0,38.1,恥辱に伴う重さと、鼻音による内向的な響き。,,4,5,6,1,REDUP(畳語・同一)
おろおろ,どうしてよいかわからず惑い動く様子。,擬態語,その他,中立,清音,暗い・重い・大,畳語,oɾooɾo,oɾooɾo,0,5,6,3,5,7,5,260.0,2.42,4,1000.0,3.91,4,c,2,#A9A9A9,69.2,-0.0,0.0,混乱による反復運動。中程度のRe数。,,4,5,6,1,REDUP(畳語・同一)
かあかあ,カラスの鳴音。硬い喉の摩擦と高い空間直接性。,擬音語,テクスチャー・密集度・距離感・気象・自然・人体・生理,中立,清音,明るい・軽い・小,畳語,ka:ka:,kaakaa,1,5,4,7,2,6,2,650.0,4.74,3,4500.0,6.47,4,h,6,#000000,0.0,0.0,0.0,カラスの鳴音。硬い喉の摩擦と高い空間直接性。,,4,5,6,1,REDUP(畳語・同一)
かさかさ,極端な乾燥。高周波摩擦音による乱流。,擬音語,テクスチャー・気象・自然,中立,清音,明るい・軽い・小,畳語,kasakasa,kasakasa,0,1,7,4,3,8,0,1200.0,6.29,6,9000.0,7.64,2,0,4,#D2B48C,75.0,5.0,24.4,極端な乾燥(Moisture 0)。高周波摩擦音による乱流。,,4,5,6,1,REDUP(畳語・同一)
かさこそ,乾燥した小物体との接触。Reは高い。,擬音語,テクスチャー,中立,清音,明るい・軽い・小,単発・その他,kasakoso,kasakoso,0,1,6,3,4,8,1,900.0,5.56,5,6000.0,6.95,3,mc,3,#8B4513,37.5,26.4,41.0,乾燥した小物体との接触。Reは高い。,,5,5,5,8,COMPOUND(複合・異種)
かすかす,密度不足。完全な乾燥と空気質の流体。,擬態語,テクスチャー・気象・自然・人体・生理,中立,清音,明るい・軽い・小,畳語,kasukasu,kasukasu,0,1,3,2,5,9,0,1500.0,6.86,4,10000.0,7.82,1,c,2,#F5F5F5,96.5,-0.0,0.0,密度不足。完全な乾燥と空気質の流体。,,4,5,6,1,REDUP(畳語・同一)
かたかた,剛体の衝突。高い時間的突発性。,擬音語,スピード・テンポ,中立,清音,明るい・軽い・小,畳語,katakata,katakata,0,3,8,7,7,1,2,500.0,4.07,7,7000.0,7.22,8,c,2,#808080,53.6,-0.0,0.0,剛体(Hardness 1)の衝突。高い時間的突発性。,,4,5,6,1,REDUP(畳語・同一)
かたり,単発の剛体接触。弾き音による余韻。,擬音語,その他,中立,清音,明るい・軽い・小,「り」変化,kataɾi,kataɾi,0,4,7,8,5,2,3,450.0,3.81,6,5000.0,6.65,7,mc,3,#A0522D,43.8,29.3,35.6,単発の剛体接触。弾き音による余韻。,,4,6,0,0,RI(り単発)
かたん,重量物の設置。直接的なSpace 9と高いBo数。,擬音語,質量,中立,清音,明るい・軽い・小,撥音,kataŋ,kataŋ,0,5,8,9,6,2,4,300.0,2.78,7,3000.0,5.78,9,mc,3,#2F4F4F,31.3,-11.7,-3.7,重量物の設置。直接的なSpace 9と高いBo数。,,3,6,0,0,N(撥音単発)
かちかち,最高の剛体感。高周波かつ急峻な減衰。,擬音語,スピード・テンポ・気象・自然,中立,清音,明るい・軽い・小,畳語,katɕikatɕi,katɕikatɕi,0,4,8,8,8,0,1,1800.0,7.32,8,12000.0,8.13,9,c,2,#C0C0C0,77.7,-0.0,0.0,最高の剛体感。高周波かつ急峻な減衰。,,4,5,6,1,REDUP(畳語・同一)
かちっ,スイッチの切り替え。限界値の突発性と剛性。,擬態語,テクスチャー,中立,清音,明るい・軽い・小,促音,katɕiʔ,katɕiʔ,0,4,9,9,9,0,1,2000.0,7.58,9,15000.0,8.51,9,0,4,#FFFFFF,100.0,-0.0,0.0,スイッチの切り替え。限界値の突発性と剛性。,,2,5,0,0,Q(促音単発)
かちゃかちゃ,小さな剛体の多重衝突。高いRe数。,擬音語,その他,中立,清音,明るい・軽い・小,畳語,katɕakatɕa,katɕakatɕa,0,3,8,6,5,1,2,2500.0,8.15,7,13000.0,8.27,7,c,2,#D3D3D3,84.6,-0.0,0.0,小さな剛体の多重衝突。高いRe数（乱流）。,,4,5,6,1,REDUP(畳語・同一)
かちん,怒りや硬質な衝突。強い抑制と圧縮性。,擬音語・擬情語,その他,中立,清音,明るい・軽い・小,撥音,katɕiŋ,katɕiŋ,0,6,8,9,9,0,2,1600.0,7.02,8,9000.0,7.64,9,c,2,#4682B4,52.5,-4.1,-32.2,怒りや硬質な衝突。強い抑制と圧縮性(Bo)。,,3,6,0,0,N(撥音単発)
かちんかちん,凍結した硬さ。最小のMoistureと最大のHardness。,擬態語,その他,中立,清音,明るい・軽い・小,畳語・撥音,katɕiŋkatɕiŋ,katɕiŋkatɕiŋ,0,7,8,8,9,0,1,1500.0,6.86,8,8000.0,7.44,9,cc,1,#E0FFFF,97.9,-9.9,-3.4,凍結した硬さ。最小のMoistureと最大のHardness。,,4,5,6,1,REDUP(畳語・同一)
かっ,瞬間的な発火。高い温度感と気圧。,擬態語,温度・スピード・テンポ,中立,清音,明るい・軽い・小,促音,kaʔ,kaʔ,0,7,9,9,8,3,1,800.0,5.26,9,18000.0,8.82,9,hh,7,#FF0000,53.2,80.1,67.2,瞬間的な発火。高い温度感と気圧(Bo 9)。,,2,5,0,0,Q(促音単発)
かっきり,境界の明確さ。Space 9の直接性と剛性。,擬態語,テクスチャー,中立,清音,明るい・軽い・小,促音・「り」変化,kakkiri,kakkiɾi,1,4,8,9,7,2,2,700.0,4.93,8,6000.0,6.95,8,0,4,#000000,0.0,0.0,0.0,境界の明確さ。Space 9の直接性と剛性。,,5,5,5,8,COMPOUND(複合・異種)
かっちり,適合の精度。高い抑制と剛体感。,擬態語,その他,中立,清音,明るい・軽い・小,促音・「り」変化,kattɕiɾi,kattɕiɾi,0,5,8,9,8,1,3,650.0,4.74,7,5000.0,6.65,9,0,4,#708090,52.8,-2.1,-10.6,適合の精度。高い抑制(Flow 8)と剛体感。,,5,5,5,8,COMPOUND(複合・異種)
かっちんかっちん,時計の針や凍結。極めて高いWeightとHardness。,擬態語,その他,中立,清音,明るい・軽い・小,畳語・促音・撥音,kattɕiŋkattɕiŋ,kattɕiŋkattɕiŋ,0,8,8,8,9,0,1,1400.0,6.68,8,7000.0,7.22,9,cc,1,#AFEEEE,90.1,-19.6,-6.4,時計の針や凍結。極めて高いWeightとHardness。,,4,5,6,1,REDUP(畳語・同一)
かつかつ,靴音や余裕のなさ。硬い接触と時間的切迫。,擬音語,テクスチャー・スピード・テンポ,中立,清音,明るい・軽い・小,畳語,katsukatsu,katsukatsu,0,5,7,7,6,2,1,600.0,4.54,7,4000.0,6.27,7,mc,3,#696969,44.4,-0.0,0.0,靴音や余裕のなさ。硬い接触と時間的切迫。,,4,5,6,1,REDUP(畳語・同一)
からから,空洞感。Moisture 0と流体運動。,擬態語,テクスチャー・ダイナミクス・気象・自然,中立,清音,明るい・軽い・小,畳語,kaɾakaɾa,kaɾakaɾa,0,3,6,4,3,7,0,550.0,4.32,5,3500.0,6.04,3,0,4,#F4A460,74.0,23.0,46.8,空洞感。Moisture 0と流体運動。,,4,5,6,1,REDUP(畳語・同一)
からころ,下駄などの木製剛体。適度なHardness。,擬態語,その他,中立,清音,明るい・軽い・小,単発・その他,kaɾakoɾo,kaɾakoɾo,0,4,6,5,4,4,1,400.0,3.51,5,3000.0,5.78,4,mc,3,#8B4513,37.5,26.4,41.0,下駄などの木製剛体。適度なHardness。,,5,5,5,8,COMPOUND(複合・異種)
