word,language,lang_code,category,domain,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
kechekeche,Swahili,sw,Sound,Sound/Impact,0.65,0.7,0.5,0.35,0.75,0.15,4000.0,0.487,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
tubwi,Swahili,sw,Sound,Sound/Impact,0.8,0.45,0.85,0.35,0.4,0.35,4000.0,0.487,0.5,0.6,0.263,0.8,0.4,3,#808080,50.0,0.0,0.0,1,0.5,0.0,0.5,ROOT
tubwi-tubwi,Swahili,sw,Sound,Sound/Impact,0.8,0.45,0.85,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
tubwika,Swahili,sw,Verb/State,Sound/Impact,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
pukutiku,Swahili,sw,Motion,Dynamics/Motion,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
mwaa,Swahili,sw,State,Density/Spatial,0.5,0.4,0.6,0.35,0.3,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
mwaa-mwaa,Swahili,sw,State,Density/Spatial,0.5,0.4,0.5,0.35,0.98,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
mwaaka,Swahili,sw,Verb/State,Density/Spatial,0.5,0.4,0.5,0.35,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
fyuu,Swahili,sw,Motion,Speed/Rhythm,0.65,0.15,0.95,0.55,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.8,0.4,3,#808080,50.0,0.0,0.0,1,0.5,0.0,0.5,ROOT
fyuu-fyuu,Swahili,sw,Motion,Speed/Rhythm,0.65,0.15,0.85,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
fyuuka,Swahili,sw,Verb/State,Speed/Rhythm,0.5,0.4,0.5,0.55,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
jiu,Swahili,sw,State,Silence/Quiet,0.65,0.4,0.6,0.35,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
jiu-jiu,Swahili,sw,State,Silence/Quiet,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
jiuka,Swahili,sw,Verb/State,Silence/Quiet,0.65,0.4,0.5,0.35,0.4,0.35,4000.0,0.487,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,STATIVE_VERB
gudugudu,Swahili,sw,Sound,Sound/Impact,0.5,0.7,0.5,0.35,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
kacha,Swahili,sw,Sound,Texture/Touch,0.5,0.4,0.5,0.7,0.4,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
kacha-kacha,Swahili,sw,Sound,Texture/Touch,0.5,0.4,0.5,0.7,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
kachaka,Swahili,sw,Verb/State,Texture/Touch,0.5,0.4,0.5,0.35,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
chala,Swahili,sw,State,Posture/Position,0.5,0.4,0.5,0.35,0.4,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
chala-chala,Swahili,sw,State,Posture/Position,0.5,0.4,0.5,0.35,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
chalaka,Swahili,sw,Verb/State,Posture/Position,0.5,0.4,0.5,0.35,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
pwa,Swahili,sw,Sound,Sound/Impact,0.5,0.4,0.6,0.35,0.15,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
pwa-pwa,Swahili,sw,Sound,Sound/Impact,0.5,0.4,0.5,0.35,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
pwaka,Swahili,sw,Verb/State,Sound/Impact,0.5,0.4,0.5,0.35,0.4,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,STATIVE_VERB
tifu,Swahili,sw,State,Density/Spatial,0.65,0.4,0.6,0.55,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
tifu-tifu,Swahili,sw,State,Density/Spatial,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
tifuka,Swahili,sw,Verb/State,Density/Spatial,0.65,0.4,0.5,0.55,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
kiri,Swahili,sw,Motion,Dynamics/Motion,0.8,0.15,0.95,0.35,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.8,0.4,3,#808080,50.0,0.0,0.0,1,0.5,0.0,0.5,ROOT
kiri-kiri,Swahili,sw,Motion,Dynamics/Motion,0.8,0.15,0.85,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
kirika,Swahili,sw,Verb/State,Dynamics/Motion,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
wur,Hausa,ha,Color,Color/Purity,0.5,0.4,0.6,0.35,0.15,0.35,2500.0,0.295,0.7,0.25,0.079,0.45,0.4,3,#DC143C,70.0,85.0,50.0,2,0.5,0.0,0.5,ROOT
wur-wur,Hausa,ha,Color,Color/Purity,0.5,0.4,0.5,0.35,0.9,0.35,2500.0,0.295,0.7,1.0,0.474,0.45,0.4,3,#DC143C,70.0,85.0,50.0,4,0.5,1.0,0.9,REDUP_2
wurnci,Hausa,ha,Abstract,Color/Purity,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
fat,Hausa,ha,Color,Color/Purity,0.65,0.15,0.6,0.55,0.15,0.35,4000.0,0.487,0.95,0.25,0.079,0.45,0.4,3,#FFFFFF,95.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
fat-fat,Hausa,ha,Color,Color/Purity,0.65,0.15,0.5,0.55,0.9,0.35,4000.0,0.487,0.95,1.0,0.474,0.45,0.4,3,#FFFFFF,95.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
fatnci,Hausa,ha,Abstract,Color/Purity,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
kirin,Hausa,ha,Color,Color/Purity,0.45,0.7,0.5,0.35,0.55,0.35,2800.0,0.333,0.05,0.6,0.263,0.45,0.4,3,#050505,5.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
kirin-kirin,Hausa,ha,Color,Color/Purity,0.45,0.7,0.5,0.35,0.98,0.35,2800.0,0.333,0.05,1.0,0.474,0.45,0.4,3,#050505,5.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
kirinnci,Hausa,ha,Abstract,Color/Purity,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
rus,Hausa,ha,Color,Color/Purity,0.5,0.4,0.6,0.55,0.15,0.35,2500.0,0.295,0.85,0.25,0.079,0.45,0.4,3,#FFD700,85.0,0.0,75.0,2,0.5,0.0,0.5,ROOT
rus-rus,Hausa,ha,Color,Color/Purity,0.5,0.4,0.5,0.55,0.9,0.35,2500.0,0.295,0.85,1.0,0.474,0.45,0.4,3,#FFD700,85.0,0.0,75.0,4,0.5,1.0,0.9,REDUP_2
rusnci,Hausa,ha,Abstract,Color/Purity,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
tsikirin,Hausa,ha,State,Density/Distance,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
gum,Hausa,ha,State,Silence/Quiet,0.5,0.4,0.6,0.35,0.3,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
gum-gum,Hausa,ha,State,Silence/Quiet,0.5,0.4,0.5,0.35,0.98,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
gumnci,Hausa,ha,Abstract,Silence/Quiet,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
kal,Hausa,ha,State,Texture/Purity,0.5,0.4,0.6,0.45,0.15,0.35,2500.0,0.295,0.8,0.25,0.079,0.45,0.15,2,#FFF8DC,80.0,0.0,30.0,2,0.5,0.0,0.5,ROOT
kal-kal,Hausa,ha,State,Texture/Purity,0.5,0.4,0.5,0.45,0.9,0.35,2500.0,0.295,0.8,1.0,0.474,0.45,0.15,2,#FFF8DC,80.0,0.0,30.0,4,0.5,1.0,0.9,REDUP_2
kalnci,Hausa,ha,Abstract,Texture/Purity,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
sol,Hausa,ha,State,Texture/Purity,0.5,0.4,0.6,0.3,0.15,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.15,2,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
sol-sol,Hausa,ha,State,Texture/Purity,0.5,0.4,0.5,0.3,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.15,2,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
solnci,Hausa,ha,Abstract,Texture/Purity,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
fak,Hausa,ha,Motion,Speed/Rhythm,0.65,0.15,0.95,0.55,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.8,0.4,3,#808080,50.0,0.0,0.0,1,0.5,0.0,0.5,ROOT
fak-fak,Hausa,ha,Motion,Speed/Rhythm,0.65,0.15,0.85,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
faknci,Hausa,ha,Abstract,Speed/Rhythm,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
kwas,Hausa,ha,Sound,Sound/Impact,0.65,0.15,0.95,0.9,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.8,0.4,3,#808080,50.0,0.0,0.0,1,0.5,0.0,0.5,ROOT
kwas-kwas,Hausa,ha,Sound,Sound/Impact,0.65,0.15,0.85,0.9,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
kwasnci,Hausa,ha,Abstract,Sound/Impact,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
bam,Hausa,ha,Sound,Sound/Impact,0.5,0.7,0.6,0.35,0.3,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
bam-bam,Hausa,ha,Sound,Sound/Impact,0.5,0.7,0.5,0.35,0.98,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
bamnci,Hausa,ha,Abstract,Sound/Impact,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
tumm,Hausa,ha,State,Mass/Weight,0.65,0.15,0.95,0.35,0.3,0.35,4000.0,0.487,0.5,0.25,0.079,0.8,0.4,3,#808080,50.0,0.0,0.0,1,0.5,0.0,0.5,ROOT
tumm-tumm,Hausa,ha,State,Mass/Weight,0.65,0.15,0.85,0.35,0.98,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
tummnci,Hausa,ha,Abstract,Mass/Weight,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
murus,Hausa,ha,State,State/Totality,0.5,0.4,0.5,0.55,0.55,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
murus-murus,Hausa,ha,State,State/Totality,0.5,0.4,0.5,0.55,0.98,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
murusnci,Hausa,ha,Abstract,State/Totality,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
farafara,Hausa,ha,Motion,Dynamics/Motion,0.65,0.15,0.85,0.55,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
babbaka,Hausa,ha,State,Temperature,0.5,0.4,0.5,0.35,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
tas,Hausa,ha,State,Texture/Purity,0.5,0.4,0.6,0.3,0.15,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.15,2,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
tas-tas,Hausa,ha,State,Texture/Purity,0.5,0.4,0.5,0.3,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.15,2,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
tasnci,Hausa,ha,Abstract,Texture/Purity,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
dum,Hausa,ha,State,Silence/Quiet,0.5,0.4,0.6,0.35,0.3,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
dum-dum,Hausa,ha,State,Silence/Quiet,0.5,0.4,0.5,0.35,0.98,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
dumnci,Hausa,ha,Abstract,Silence/Quiet,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
kats,Hausa,ha,Sound,Sound/Impact,0.65,0.45,0.95,0.55,0.15,0.15,4000.0,0.487,0.5,0.25,0.079,0.8,0.85,4,#808080,50.0,0.0,0.0,1,0.5,0.0,0.5,ROOT
kats-kats,Hausa,ha,Sound,Sound/Impact,0.65,0.45,0.85,0.55,0.9,0.15,4000.0,0.487,0.5,1.0,0.474,0.8,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
katsnci,Hausa,ha,Abstract,Sound/Impact,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,DERIVATIVE
tshu,Zulu,zu,Color,Color/Purity,0.3,0.7,0.6,0.55,0.15,0.35,1300.0,0.141,0.05,0.25,0.079,0.45,0.4,3,#050505,5.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
tshu-tshu,Zulu,zu,Color,Color/Purity,0.3,0.7,0.5,0.55,0.9,0.35,1300.0,0.141,0.05,1.0,0.474,0.45,0.4,3,#050505,5.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
tshuka,Zulu,zu,Verb/State,Color/Purity,0.5,0.4,0.5,0.55,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
gebhu,Zulu,zu,Color,Color/Purity,0.65,0.4,0.5,0.35,0.4,0.35,4000.0,0.487,0.7,0.6,0.263,0.45,0.4,3,#DC143C,70.0,85.0,50.0,2,0.5,0.0,0.5,ROOT
gebhu-gebhu,Zulu,zu,Color,Color/Purity,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.7,1.0,0.474,0.45,0.4,3,#DC143C,70.0,85.0,50.0,4,0.5,1.0,0.9,REDUP_2
gebhuka,Zulu,zu,Verb/State,Color/Purity,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
nce,Zulu,zu,Color,Color/Purity,0.98,0.15,0.6,0.35,0.3,0.65,5200.0,0.641,0.95,0.25,0.079,0.45,0.85,4,#FFFFFF,95.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
nce-nce,Zulu,zu,Color,Color/Purity,0.98,0.15,0.5,0.35,0.98,0.65,5200.0,0.641,0.95,1.0,0.474,0.45,0.85,4,#FFFFFF,95.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
nceka,Zulu,zu,Verb/State,Color/Purity,0.98,0.4,0.5,0.35,0.55,0.65,5200.0,0.641,0.5,0.6,0.263,0.45,0.85,4,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,STATIVE_VERB
tshoko,Zulu,zu,Color,Color/Purity,0.5,0.4,0.5,0.55,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
zwakaha,Zulu,zu,State,Psychological/Sensory,0.65,0.15,0.85,0.55,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
du,Zulu,zu,State,Silence/Quiet,0.3,0.4,0.25,0.1,0.3,0.35,1300.0,0.141,0.5,0.25,0.079,0.15,0.15,2,#808080,50.0,0.0,0.0,0,0.5,0.0,0.5,ROOT
du-du,Zulu,zu,State,Silence/Quiet,0.3,0.4,0.15,0.1,0.9,0.35,1300.0,0.141,0.5,1.0,0.474,0.15,0.15,2,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
duka,Zulu,zu,Verb/State,Silence/Quiet,0.5,0.4,0.5,0.35,0.4,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,STATIVE_VERB
bhuxe,Zulu,zu,Motion,Dynamics/Motion,0.98,0.4,0.5,0.35,0.4,0.65,5200.0,0.641,0.5,0.6,0.263,0.45,0.85,4,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
bhuxe-bhuxe,Zulu,zu,Motion,Dynamics/Motion,0.98,0.4,0.5,0.35,0.9,0.65,5200.0,0.641,0.5,1.0,0.474,0.45,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
bhuxeka,Zulu,zu,Verb/State,Dynamics/Motion,0.98,0.4,0.5,0.35,0.75,0.65,5200.0,0.641,0.5,1.0,0.474,0.45,0.85,4,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
gwada,Zulu,zu,Motion,Posture/Position,0.5,0.4,0.5,0.35,0.4,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
gwada-gwada,Zulu,zu,Motion,Posture/Position,0.5,0.4,0.5,0.35,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
gwadaka,Zulu,zu,Verb/State,Posture/Position,0.5,0.4,0.5,0.35,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,STATIVE_VERB
khahlamba,Zulu,zu,State,Texture/Touch,0.5,0.4,0.5,0.9,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,ROOT
mbo,Zulu,zu,State,Density/Spatial,0.5,0.4,0.6,0.35,0.3,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
mbo-mbo,Zulu,zu,State,Density/Spatial,0.5,0.4,0.5,0.35,0.98,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
mboka,Zulu,zu,Verb/State,Density/Spatial,0.5,0.4,0.5,0.35,0.55,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,STATIVE_VERB
phu,Zulu,zu,State,Smell/Odor,0.65,0.15,0.95,0.35,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.8,0.4,3,#808080,50.0,0.0,0.0,1,0.5,0.0,0.5,ROOT
phu-phu,Zulu,zu,State,Smell/Odor,0.65,0.15,0.85,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
phuka,Zulu,zu,Verb/State,Smell/Odor,0.5,0.4,0.5,0.35,0.4,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,STATIVE_VERB
klwa,Zulu,zu,Sound,Sound/Impact,0.5,0.4,0.6,0.35,0.15,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,2,0.5,0.0,0.5,ROOT
klwa-klwa,Zulu,zu,Sound,Sound/Impact,0.5,0.4,0.5,0.35,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,4,0.5,1.0,0.9,REDUP_2
