word,language,lang_code,category,domain,meaning_en,pronunciation,morph_type,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,rationale,flags,x13_accent,x14_contour,x15_meter,x16_regularity
fyuu-fyuu,Swahili,sw,Motion,Speed/Rhythm,Intensified or continuous aspect of fyuu: whistling past rapidly; swift darting motion,fyu-u-fyu-u,REDUP_2,0.65,0.15,0.85,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
fyuuka,Swahili,sw,Verb/State,Speed/Rhythm,Stative verb derived from ideophone root fyuu,fyu-u-ka,STATIVE_VERB,0.5,0.4,0.5,0.55,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
jiu,Swahili,sw,State,Silence/Quiet,Absolute dead silence in a space,ji-u,ROOT,0.65,0.4,0.6,0.35,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
jiu-jiu,Swahili,sw,State,Silence/Quiet,Intensified or continuous aspect of jiu: absolute dead silence in a space,ji-u-ji-u,REDUP_2,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
jiuka,Swahili,sw,Verb/State,Silence/Quiet,Stative verb derived from ideophone root jiu,ji-u-ka,STATIVE_VERB,0.65,0.4,0.5,0.35,0.4,0.35,4000.0,0.487,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
gudugudu,Swahili,sw,Sound,Sound/Impact,Rumbling heavy vibration of a vehicle or thunder,gu-du-gu-du,ROOT,0.5,0.7,0.5,0.35,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.7, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
kacha,Swahili,sw,Sound,Texture/Touch,Dry rustling of dry leaves or paper,ka-cha,ROOT,0.5,0.4,0.5,0.7,0.4,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
kacha-kacha,Swahili,sw,Sound,Texture/Touch,Intensified or continuous aspect of kacha: dry rustling of dry leaves or paper,ka-cha-ka-cha,REDUP_2,0.5,0.4,0.5,0.7,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
kachaka,Swahili,sw,Verb/State,Texture/Touch,Stative verb derived from ideophone root kacha,ka-cha-ka,STATIVE_VERB,0.5,0.4,0.5,0.35,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
chala,Swahili,sw,State,Posture/Position,Lying helplessly flat on one's back,cha-la,ROOT,0.5,0.4,0.5,0.35,0.4,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
chala-chala,Swahili,sw,State,Posture/Position,Intensified or continuous aspect of chala: lying helplessly flat on one's back,cha-la-cha-la,REDUP_2,0.5,0.4,0.5,0.35,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
chalaka,Swahili,sw,Verb/State,Posture/Position,Stative verb derived from ideophone root chala,cha-la-ka,STATIVE_VERB,0.5,0.4,0.5,0.35,0.75,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
pwa,Swahili,sw,Sound,Sound/Impact,Slapping sound or wet water splashing,pwa,ROOT,0.5,0.4,0.6,0.35,0.15,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
pwa-pwa,Swahili,sw,Sound,Sound/Impact,Intensified or continuous aspect of pwa: slapping sound or wet water splashing,pwa-pwa,REDUP_2,0.5,0.4,0.5,0.35,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
pwaka,Swahili,sw,Verb/State,Sound/Impact,Stative verb derived from ideophone root pwa,pwa-ka,STATIVE_VERB,0.5,0.4,0.5,0.35,0.4,0.35,2500.0,0.295,0.5,0.6,0.263,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
tifu,Swahili,sw,State,Density/Spatial,Rising dust cloud in an instant,ti-fu,ROOT,0.65,0.4,0.6,0.55,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
tifu-tifu,Swahili,sw,State,Density/Spatial,Intensified or continuous aspect of tifu: rising dust cloud in an instant,ti-fu-ti-fu,REDUP_2,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
tifuka,Swahili,sw,Verb/State,Density/Spatial,Stative verb derived from ideophone root tifu,ti-fu-ka,STATIVE_VERB,0.65,0.4,0.5,0.55,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
kiri,Swahili,sw,Motion,Dynamics/Motion,Turning around rapidly on heel,ki-ri,ROOT,0.8,0.15,0.95,0.35,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.8,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,1,0.5,0.0,0.5
kiri-kiri,Swahili,sw,Motion,Dynamics/Motion,Intensified or continuous aspect of kiri: turning around rapidly on heel,ki-ri-ki-ri,REDUP_2,0.8,0.15,0.85,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
kirika,Swahili,sw,Verb/State,Dynamics/Motion,Stative verb derived from ideophone root kiri,ki-ri-ka,STATIVE_VERB,0.65,0.4,0.5,0.35,0.75,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
wur,Hausa,ha,Color,Color/Purity,"Intense, vivid crimson red; blood-red",wur,ROOT,0.5,0.4,0.6,0.35,0.15,0.35,2500.0,0.295,0.7,0.25,0.079,0.45,0.4,3,#DC143C,70.0,85.0,50.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.7.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
wur-wur,Hausa,ha,Color,Color/Purity,"Intensified or continuous aspect of wur: intense, vivid crimson red; blood-red",wur-wur,REDUP_2,0.5,0.4,0.5,0.35,0.9,0.35,2500.0,0.295,0.7,1.0,0.474,0.45,0.4,3,#DC143C,70.0,85.0,50.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.7.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
wurnci,Hausa,ha,Abstract,Color/Purity,Abstract state/quality associated with wur,wur-nci,DERIVATIVE,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
fat,Hausa,ha,Color,Color/Purity,"Flawless, spotless pure white",fat,ROOT,0.65,0.15,0.6,0.55,0.15,0.35,4000.0,0.487,0.95,0.25,0.079,0.45,0.4,3,#FFFFFF,95.0,0.0,0.0,"Fricative sound mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.95.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
fat-fat,Hausa,ha,Color,Color/Purity,"Intensified or continuous aspect of fat: flawless, spotless pure white",fat-fat,REDUP_2,0.65,0.15,0.5,0.55,0.9,0.35,4000.0,0.487,0.95,1.0,0.474,0.45,0.4,3,#FFFFFF,95.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.95.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
fatnci,Hausa,ha,Abstract,Color/Purity,Abstract state/quality associated with fat,fat-nci,DERIVATIVE,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
kirin,Hausa,ha,Color,Color/Purity,"Pitch black, impenetrable darkness",ki-rin,ROOT,0.45,0.7,0.5,0.35,0.55,0.35,2800.0,0.333,0.05,0.6,0.263,0.45,0.4,3,#050505,5.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.7, Hardness x11=0.4, and Luminance x8=0.05.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
kirin-kirin,Hausa,ha,Color,Color/Purity,"Intensified or continuous aspect of kirin: pitch black, impenetrable darkness",ki-rin-ki-rin,REDUP_2,0.45,0.7,0.5,0.35,0.98,0.35,2800.0,0.333,0.05,1.0,0.474,0.45,0.4,3,#050505,5.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.7, Hardness x11=0.4, and Luminance x8=0.05.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
kirinnci,Hausa,ha,Abstract,Color/Purity,Abstract state/quality associated with kirin,ki-rin-nci,DERIVATIVE,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
rus,Hausa,ha,Color,Color/Purity,"Bright, vivid yellow or gold",rus,ROOT,0.5,0.4,0.6,0.55,0.15,0.35,2500.0,0.295,0.85,0.25,0.079,0.45,0.4,3,#FFD700,85.0,0.0,75.0,"Fricative sound mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.85.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
rus-rus,Hausa,ha,Color,Color/Purity,"Intensified or continuous aspect of rus: bright, vivid yellow or gold",rus-rus,REDUP_2,0.5,0.4,0.5,0.55,0.9,0.35,2500.0,0.295,0.85,1.0,0.474,0.45,0.4,3,#FFD700,85.0,0.0,75.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.85.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
rusnci,Hausa,ha,Abstract,Color/Purity,Abstract state/quality associated with rus,rus-nci,DERIVATIVE,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
tsikirin,Hausa,ha,State,Density/Distance,"Extremely tiny, minuscule dot or object",tsi-ki-rin,ROOT,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
gum,Hausa,ha,State,Silence/Quiet,"Tight, sealed closure; absolute silence",gum,ROOT,0.5,0.4,0.6,0.35,0.3,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.4,3,#808080,50.0,0.0,0.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
gum-gum,Hausa,ha,State,Silence/Quiet,"Intensified or continuous aspect of gum: tight, sealed closure; absolute silence",gum-gum,REDUP_2,0.5,0.4,0.5,0.35,0.98,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
gumnci,Hausa,ha,Abstract,Silence/Quiet,Abstract state/quality associated with gum,gum-nci,DERIVATIVE,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
kal,Hausa,ha,State,Texture/Purity,"Sparkling clean, thoroughly washed and bright",kal,ROOT,0.5,0.4,0.6,0.45,0.15,0.35,2500.0,0.295,0.8,0.25,0.079,0.45,0.15,2,#FFF8DC,80.0,0.0,30.0,"Standard phonetic root mapped to Mass x2=0.4, Hardness x11=0.15, and Luminance x8=0.8.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
kal-kal,Hausa,ha,State,Texture/Purity,"Intensified or continuous aspect of kal: sparkling clean, thoroughly washed and bright",kal-kal,REDUP_2,0.5,0.4,0.5,0.45,0.9,0.35,2500.0,0.295,0.8,1.0,0.474,0.45,0.15,2,#FFF8DC,80.0,0.0,30.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.15, and Luminance x8=0.8.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
kalnci,Hausa,ha,Abstract,Texture/Purity,Abstract state/quality associated with kal,kal-nci,DERIVATIVE,0.65,0.4,0.5,0.35,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
sol,Hausa,ha,State,Texture/Purity,Smooth and immaculate surface without blemish,sol,ROOT,0.5,0.4,0.6,0.3,0.15,0.35,2500.0,0.295,0.5,0.25,0.079,0.45,0.15,2,#808080,50.0,0.0,0.0,"Fricative sound mapped to Mass x2=0.4, Hardness x11=0.15, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,2,0.5,0.0,0.5
sol-sol,Hausa,ha,State,Texture/Purity,Intensified or continuous aspect of sol: smooth and immaculate surface without blemish,sol-sol,REDUP_2,0.5,0.4,0.5,0.3,0.9,0.35,2500.0,0.295,0.5,1.0,0.474,0.45,0.15,2,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.15, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
solnci,Hausa,ha,Abstract,Texture/Purity,Abstract state/quality associated with sol,sol-nci,DERIVATIVE,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
fak,Hausa,ha,Motion,Speed/Rhythm,Sudden complete cessation of movement; stopping dead,fak,ROOT,0.65,0.15,0.95,0.55,0.15,0.35,4000.0,0.487,0.5,0.25,0.079,0.8,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,1,0.5,0.0,0.5
fak-fak,Hausa,ha,Motion,Speed/Rhythm,Intensified or continuous aspect of fak: sudden complete cessation of movement; stopping dead,fak-fak,REDUP_2,0.65,0.15,0.85,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.8,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.15, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
faknci,Hausa,ha,Abstract,Speed/Rhythm,Abstract state/quality associated with fak,fak-nci,DERIVATIVE,0.65,0.4,0.5,0.55,0.9,0.35,4000.0,0.487,0.5,1.0,0.474,0.45,0.4,3,#808080,50.0,0.0,0.0,"Fricative sound, Reduplicated form mapped to Mass x2=0.4, Hardness x11=0.4, and Luminance x8=0.5.",COMPLETED_AFRICA_A16,4,0.5,1.0,0.9
