word,pronunciation_romaji,meaning_en,category,domain,polarity,intensity,tone,morphology,ipa_clean,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,rationale,flags,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
いじいじ,ijiiji,"Hesitant, timid, or sullen behavior.",Psychomime (State/Manner),Emotion,Negative,Unvoiced (Light),Dark/Heavy/Large,Reduplication,idʑiidʑi,4,3,2,9,3,5,200.0,1.75,5,600.0,3.04,4,c,2,#4B0082,20.5,51.7,-53.3,"Reflecting voiced consonants for a vector configuration of Weight 4, Time 3, and Flow 9.",,4,5,6,1,REDUP(畳語・同一)
いそいそ,isoiso,"Excitedly, cheerfully, or eagerly moving.",Psychomime (State/Manner),Emotion,Positive,Unvoiced (Light),Bright/Light/Small,Reduplication,isoiso,2,7,7,2,8,2,600.0,4.54,4,3500.0,6.04,2,mh,5,#FFFACD,97.6,-5.4,22.2,"Reflecting fricatives for a vector configuration of Weight 2, Time 7, and Flow 2.",,4,5,6,1,REDUP(畳語・同一)
いちゃいちゃ,ichaicha,"Flirting, being affectionate or doting.",Psychomime (State/Manner),"Color/Light, Emotion",Positive,Semi-voiced (Crisp),Bright/Light/Small,Reduplication,itɕaitɕa,3,4,4,5,6,8,450.0,3.81,4,1500.0,4.6,6,hh,7,#FFC0CB,83.6,24.1,3.3,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 3, Time 4, and Flow 5.",,4,5,6,1,REDUP(畳語・同一)
いひひ,ihihi,"Chuckle eerily, snicker, or laugh with scheme.",Phonomime (Voice),Emotion,Negative,Unvoiced (Light),Bright/Light/Small,Reduplication,içiçi,2,6,6,7,8,4,750.0,5.1,5,2000.0,5.09,4,mc,3,#ADFF2F,92.0,-52.5,81.9,"Reflecting fricatives for a vector configuration of Weight 2, Time 6, and Flow 7.",,3,5,0,0,OTHER(単発)
いらいら,iraira,"Irritated, frustrated, or impatient state.",Pathomime (Emotion),Emotion,Negative,Unvoiced (Light),Dark/Heavy/Large,Reduplication,iɾaiɾa,6,7,6,8,5,2,380.0,3.38,3,5000.0,6.65,5,h,6,#FF4500,57.6,67.8,69.0,"Reflecting flap consonant /ɾ/ for a vector configuration of Weight 6, Time 7, and Flow 8.",,4,5,6,1,REDUP(畳語・同一)
うおーっ,uo-t,Manner or sound of うおーっ: 叫び声や気合いの sound.,Phonomime (Voice),Emotion,Neutral,Unvoiced (Light),Dark/Heavy/Large,Long Vowel,uoːʔ,8,4,9,4,4,5,120.0,0.46,8,12000.0,8.13,9,h,6,#FF0000,53.2,80.1,67.2,"Reflecting geminate sokuon (sudden onset) and long vowel extension for a vector configuration of Weight 8, Time 4, and Flow 4.",,5,5,5,8,COMPOUND(複合・異種)
うおーん,uo-n,Manner or sound of うおーん: 遠くで響く咆哮や泣き voice/cry.,Phonomime (Voice),Living Beings,Negative,Unvoiced (Light),Dark/Heavy/Large,Long Vowel,uoːŋ,7,2,4,2,5,6,110.0,0.24,1,800.0,3.53,3,mh,5,#4682B4,52.5,-4.1,-32.2,"Reflecting nasal resonance and long vowel extension for a vector configuration of Weight 7, Time 2, and Flow 2.",,5,5,5,8,COMPOUND(複合・異種)
うかうか,ukauka,Manner or sound of うかうか: 油断してうっかり過ごす state/manner.,Psychomime (State/Manner),Emotion,Negative,Unvoiced (Light),Bright/Light/Small,Reduplication,ukauka,1,5,2,1,9,2,400.0,3.51,3,1000.0,3.91,1,0,4,#F5F5F5,96.5,-0.0,0.0,"Reflecting unvoiced plosives for a vector configuration of Weight 1, Time 5, and Flow 1.",,4,5,6,1,REDUP(畳語・同一)
うきうき,ukiuki,Manner or sound of うきうき: 心が弾んで軽やかで楽しげな manner.,Pathomime (Emotion),Emotion,Positive,Unvoiced (Light),Dark/Heavy/Large,Reduplication,ukiuki,2,7,6,0,8,3,550.0,4.32,5,2500.0,5.47,2,h,6,#FFFFE0,99.3,-5.1,14.8,"Reflecting unvoiced plosives for a vector configuration of Weight 2, Time 7, and Flow 0.",,4,5,6,1,REDUP(畳語・同一)
うじうじ,ujiuji,Manner or sound of うじうじ: 決断力がなく湿っぽく悩む state/manner.,Psychomime (State/Manner),Emotion,Negative,Unvoiced (Light),Dark/Heavy/Large,Reduplication,udʑiudʑi,5,2,1,9,4,7,180.0,1.49,2,400.0,2.35,6,c,2,#556B2F,42.2,-18.8,30.6,"Reflecting voiced consonants for a vector configuration of Weight 5, Time 2, and Flow 9.",,4,5,6,1,REDUP(畳語・同一)
うじゃうじゃ,ujauja,Manner or sound of うじゃうじゃ: 小動物や虫などが無数に群がっている state/manner.,Psychomime (State/Manner),Density/Distance,Negative,Semi-voiced (Crisp),Dark/Heavy/Large,Reduplication,udʑaudʑa,6,3,3,7,5,8,220.0,2.0,3,1800.0,4.91,8,mc,3,#8B4513,37.5,26.4,41.0,"Reflecting voiced consonants for a vector configuration of Weight 6, Time 3, and Flow 7.",,4,5,6,1,REDUP(畳語・同一)
うずうず,uzuuzu,Manner or sound of うずうず: したいことが抑えきれず体や心が動く state/manner.,Pathomime (Emotion),Emotion,Neutral,Unvoiced (Light),Dark/Heavy/Large,Reduplication,uzuuzu,5,6,7,9,3,4,250.0,2.32,4,3000.0,5.78,7,h,6,#DAA520,70.8,8.5,68.8,"Reflecting voiced consonants for a vector configuration of Weight 5, Time 6, and Flow 9.",,4,5,6,1,REDUP(畳語・同一)
うっ,ut,Manner or sound of うっ: 息や言葉が瞬間的に詰まる音・ state/manner.,Algomime (Pain),Human Body/Physiology,Negative,Voiced (Heavy),Dark/Heavy/Large,Geminate (促音/Sokuon),uʔ,7,9,9,9,1,1,300.0,2.78,9,10000.0,7.82,9,0,4,#000000,0.0,0.0,0.0,"Reflecting geminate sokuon (sudden onset) for a vector configuration of Weight 7, Time 9, and Flow 9.",,2,5,0,0,Q(促音単発)
うっかり,utkari,Manner or sound of うっかり: 注意が行き届かず、思わず過ちを犯す manner.,Psychomime (State/Manner),Emotion,Negative,Semi-voiced (Crisp),Bright/Light/Small,-ri Ending,ukkaɾi,3,8,5,6,4,2,480.0,3.97,7,3500.0,6.04,5,0,4,#FFFFFF,100.0,-0.0,0.0,"Reflecting unvoiced plosives and flap consonant /ɾ/ for a vector configuration of Weight 3, Time 8, and Flow 6.",,5,5,5,8,COMPOUND(複合・異種)
うっすら,utsura,Manner or sound of うっすら: かすかに、薄く表れている state/manner.,Psychomime (State/Manner),Color/Light,Positive,Unvoiced (Light),Bright/Light/Small,-ri Ending,ussuɾa,2,3,2,4,8,3,420.0,3.63,3,900.0,3.73,2,c,2,#E6E6FA,91.8,3.7,-9.7,"Reflecting fricatives and flap consonant /ɾ/ for a vector configuration of Weight 2, Time 3, and Flow 4.",,5,5,5,8,COMPOUND(複合・異種)
うっとり,uttori,Manner or sound of うっとり: 美しさや快感に見とれて我を忘れる manner.,Pathomime (Emotion),Emotion,Positive,Unvoiced (Light),Bright/Light/Small,-ri Ending,uttoɾi,3,2,4,0,6,6,350.0,3.17,4,800.0,3.53,4,hh,7,#DDA0DD,73.4,32.5,-22.0,"Reflecting unvoiced plosives and flap consonant /ɾ/ for a vector configuration of Weight 3, Time 2, and Flow 0.",,5,5,5,8,COMPOUND(複合・異種)
うつらうつら,utsurautsura,Manner or sound of うつらうつら: うとうとと微睡む state/manner.,Psychomime (State/Manner),Human Body/Physiology,Neutral,Semi-voiced (Crisp),Dark/Heavy/Large,Reduplication,utsuɾautsuɾa,2,2,2,5,7,5,280.0,2.61,4,600.0,3.04,3,mc,3,#B0C4DE,78.5,-1.3,-15.2,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 2, Time 2, and Flow 5.",,4,5,6,1,REDUP(畳語・同一)
うとうと,utouto,Manner or sound of うとうと: 浅い眠りに落ちかける state/manner.,Psychomime (State/Manner),Human Body/Physiology,Neutral,Unvoiced (Light),Dark/Heavy/Large,Reduplication,utouto,2,2,1,6,6,4,250.0,2.32,5,400.0,2.35,2,mc,3,#778899,55.9,-2.2,-11.1,"Reflecting unvoiced plosives for a vector configuration of Weight 2, Time 2, and Flow 6.",,4,5,6,1,REDUP(畳語・同一)
うねうね,uneune,Manner or sound of うねうね: 曲がりくねって続く state/manner.,Psychomime (State/Manner),Dynamics,Neutral,Semi-voiced (Crisp),Dark/Heavy/Large,Reduplication,uneune,4,3,1,4,8,7,200.0,1.75,1,700.0,3.31,5,mc,3,#556B2F,42.2,-18.8,30.6,"Reflecting nasal resonance for a vector configuration of Weight 4, Time 3, and Flow 4.",,4,5,6,1,REDUP(畳語・同一)
うはうは,uhauha,Manner or sound of うはうは: 思いがけない幸運に大喜びする state/manner.,Pathomime (Emotion),Emotion,Positive,Unvoiced (Light),Bright/Light/Small,Reduplication,uhauha,3,6,5,0,9,5,450.0,3.81,3,2200.0,5.25,3,hh,7,#FFD700,86.9,-1.9,87.1,"Reflecting fricatives for a vector configuration of Weight 3, Time 6, and Flow 0.",,4,5,6,1,REDUP(畳語・同一)
うふふ,ufufu,Manner or sound of うふふ: 含み笑いをする声、女性などの静かな笑い。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,uɸuɸu,2,4,3,7,8,6,380.0,3.38,4,1200.0,4.22,4,mh,5,#FFF0F5,96.1,5.9,-0.6,"Reflecting fricatives for a vector configuration of Weight 2, Time 4, and Flow 7.",,3,5,0,0,OTHER(単発)
うようよ,uyouyo,Manner or sound of うようよ: 気味の悪い小動物などが群がって動く state/manner.,Psychomime (State/Manner),Density/Distance,Negative,Unvoiced (Light),Dark/Heavy/Large,Reduplication,ujoujo,5,3,2,6,6,8,180.0,1.49,2,1500.0,4.6,8,mc,3,#6B8E23,54.7,-28.2,49.7,"Reflecting phonetic sound symbolism for a vector configuration of Weight 5, Time 3, and Flow 6.",,4,5,6,1,REDUP(畳語・同一)
うらうら,uraura,Manner or sound of うらうら: 日の光がのどかに降り注ぐ state/manner.,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,uɾauɾa,1,2,1,2,8,4,320.0,2.94,1,500.0,2.73,1,hh,7,#FFFACD,97.6,-5.4,22.2,"Reflecting flap consonant /ɾ/ for a vector configuration of Weight 1, Time 2, and Flow 2.",,4,5,6,1,REDUP(畳語・同一)
うろうろ,urouro,Manner or sound of うろうろ: 目的もなくあちこちを歩き回る state/manner.,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Dark/Heavy/Large,Reduplication,uɾouɾo,4,4,2,4,7,4,280.0,2.61,3,900.0,3.73,4,0,4,#A9A9A9,69.2,-0.0,0.0,"Reflecting flap consonant /ɾ/ for a vector configuration of Weight 4, Time 4, and Flow 4.",,4,5,6,1,REDUP(畳語・同一)
うろちょろ,urochoro,Manner or sound of うろちょろ: 小刻みにあちこち動き回って落ち着かない manner.,Psychomime (State/Manner),Speed/Tempo,Negative,Unvoiced (Light),Bright/Light/Small,Reduplication,uɾotɕoɾo,3,7,6,5,6,3,480.0,3.97,5,2800.0,5.66,5,mc,3,#9ACD32,76.5,-38.0,66.6,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 3, Time 7, and Flow 5.",,5,5,5,8,COMPOUND(複合・異種)
うわーん,uwa-n,Manner or sound of うわーん: 大声で泣き叫ぶ state/manner.,Phonomime (Voice),Emotion,Negative,Unvoiced (Light),Dark/Heavy/Large,Long Vowel,uwaːŋ,7,4,6,3,5,8,400.0,3.51,1,1500.0,4.6,5,h,6,#1E90FF,59.4,10.0,-63.4,"Reflecting nasal resonance and long vowel extension for a vector configuration of Weight 7, Time 4, and Flow 3.",,5,5,5,8,COMPOUND(複合・異種)
うん,un,Manner or sound of うん: うなずく声、 or 力を込める voice/cry.,Phonomime (Voice),Relationship,Positive,Unvoiced (Light),Dark/Heavy/Large,Geminate (促音/Sokuon),uŋ,4,5,7,6,3,5,150.0,1.03,5,400.0,2.35,6,mc,3,#808080,53.6,-0.0,0.0,"Reflecting nasal resonance for a vector configuration of Weight 4, Time 5, and Flow 6.",,3,6,0,0,N(撥音単発)
うんうん,unun,Manner or sound of うんうん: 深く納得したり、苦しんで呻いたりする state/manner.,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,uŋuŋ,3,4,4,5,4,6,160.0,1.19,4,300.0,1.87,5,mh,5,#A52A2A,37.5,49.7,30.5,"Reflecting nasal resonance for a vector configuration of Weight 3, Time 4, and Flow 5.",,4,5,6,1,REDUP(畳語・同一)
うんざり,unzari,Manner or sound of うんざり: 飽き飽きして嫌気が差す manner.,Pathomime (Emotion),Emotion,Negative,Semi-voiced (Crisp),Dark/Heavy/Large,-ri Ending,uŋzaɾi,7,3,4,8,4,6,220.0,2.0,6,800.0,3.53,7,c,2,#483D8B,30.8,26.1,-42.1,"Reflecting voiced consonants and nasal resonance for a vector configuration of Weight 7, Time 3, and Flow 8.",,5,5,5,8,COMPOUND(複合・異種)
うーん,u-n,Manner or sound of うーん: 腕組みをして悩み呻く voice/cry.,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,uːŋ,5,1,2,7,3,6,140.0,0.85,0,200.0,1.18,8,mc,3,#696969,44.4,-0.0,0.0,"Reflecting nasal resonance and long vowel extension for a vector configuration of Weight 5, Time 1, and Flow 7.",,3,8,5,1,LONG+N(長音+ん)
えごえご,egoego,Manner or sound of えごえご: 有声破裂音/ɡ/による不快な粘性と重さ。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,eɡoeɡo,6,4,3,6,5,7,180.0,1.49,4,1100.0,4.07,6,c,2,#4B0082,20.5,51.7,-53.3,"Reflecting voiced consonants for a vector configuration of Weight 6, Time 4, and Flow 6.",,4,5,6,1,REDUP(畳語・同一)
えっさえっさ,etsaetsa,Manner or sound of えっさえっさ: 労働のTime 8。摩擦音による熱産生。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,essaessa,5,8,8,3,6,4,400.0,3.51,6,5000.0,6.65,4,h,6,#FF8C00,69.5,36.8,75.5,"Reflecting fricatives and geminate sokuon (sudden onset) for a vector configuration of Weight 5, Time 8, and Flow 3.",,4,5,6,1,REDUP(畳語・同一)
えっさっさ,etsatsa,Manner or sound of えっさっさ: 促音の連続による高い時間的・空間的密度。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,essassa,4,9,9,4,5,3,450.0,3.81,8,6000.0,6.95,5,h,6,#FF4500,57.6,67.8,69.0,"Reflecting fricatives and geminate sokuon (sudden onset) for a vector configuration of Weight 4, Time 9, and Flow 4.",,2,5,0,0,Q(促音単発)
えっちらおっちら,etchiraotchira,Manner or sound of えっちらおっちら: 重い荷物などを苦労して運ぶ state/manner.,Psychomime (State/Manner),"Dynamics, Mass/Weight",Negative,Semi-voiced (Crisp),Dark/Heavy/Large,Reduplication,ettɕiɾaottɕiɾa,6,5,3,5,5,5,300.0,2.78,4,900.0,3.73,6,mh,5,#CD853F,61.8,21.4,47.9,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 6, Time 5, and Flow 5.",,2,5,0,0,Q(促音単発)
えへへ,ehehe,Manner or sound of えへへ: 照れ笑いやごまかしの笑い voice/cry.,Phonomime (Voice),Emotion,Positive,Unvoiced (Light),Bright/Light/Small,Reduplication,ehehe,2,5,3,4,9,5,420.0,3.63,3,1200.0,4.22,2,h,6,#F0E68C,90.3,-9.0,45.0,"Reflecting fricatives for a vector configuration of Weight 2, Time 5, and Flow 4.",,3,5,0,0,OTHER(単発)
えへん,ehen,Manner or sound of えへん: 注意を引くための軽い咳払い。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,eheŋ,5,6,7,7,4,4,200.0,1.75,6,1800.0,4.91,7,mc,3,#8B0000,28.1,51.0,41.3,"Reflecting fricatives and nasal resonance for a vector configuration of Weight 5, Time 6, and Flow 7.",,3,6,0,0,N(撥音単発)
おいおい,oioi,Manner or sound of おいおい: 大声で泣く声、 or 人に呼びかける voice/cry.,Phonomime (Voice),Emotion,Negative,Unvoiced (Light),Bright/Light/Small,Reduplication,oioi,4,4,4,3,6,7,280.0,2.61,4,700.0,3.31,4,mc,3,#4682B4,52.5,-4.1,-32.2,"Reflecting phonetic sound symbolism for a vector configuration of Weight 4, Time 4, and Flow 3.",,4,5,6,1,REDUP(畳語・同一)
おずおず,ozuozu,Manner or sound of おずおず: 恐る恐る躊躇しながら行動する state/manner.,Psychomime (State/Manner),Emotion,Negative,Semi-voiced (Crisp),Dark/Heavy/Large,Reduplication,ozuozu,4,3,1,9,3,5,200.0,1.75,5,400.0,2.35,5,c,2,#708090,52.8,-2.1,-10.6,"Reflecting voiced consonants for a vector configuration of Weight 4, Time 3, and Flow 9.",,4,5,6,1,REDUP(畳語・同一)
おたおた,otaota,Manner or sound of おたおた: 慌て惑って狼狽する state/manner.,Psychomime (State/Manner),Emotion,Negative,Unvoiced (Light),Bright/Light/Small,Reduplication,otaota,4,7,3,6,6,3,380.0,3.38,6,1500.0,4.6,4,mc,3,#BDB76B,73.4,-8.8,39.3,"Reflecting unvoiced plosives for a vector configuration of Weight 4, Time 7, and Flow 6.",,4,5,6,1,REDUP(畳語・同一)
おちおち,ochiochi,Manner or sound of おちおち: 落ち着いて安心して〜できない state/manner.,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,otɕiotɕi,3,4,4,7,6,6,400.0,3.51,5,1200.0,4.22,5,mc,3,#708090,52.8,-2.1,-10.6,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 3, Time 4, and Flow 7.",,4,5,6,1,REDUP(畳語・同一)
おっとり,ottori,Manner or sound of おっとり: 落ち着いていて温厚・穏やかな manner.,Psychomime (State/Manner),Emotion,Positive,Unvoiced (Light),Dark/Heavy/Large,-ri Ending,ottoɾi,2,1,2,0,7,6,300.0,2.78,4,600.0,3.04,3,mh,5,#FFB6C1,81.1,28.0,5.0,"Reflecting unvoiced plosives and flap consonant /ɾ/ for a vector configuration of Weight 2, Time 1, and Flow 0.",,5,5,5,8,COMPOUND(複合・異種)
おどおど,odoodo,Manner or sound of おどおど: 不安や恐怖で心身が震える state/manner.,Pathomime (Emotion),Emotion,Negative,Unvoiced (Light),Dark/Heavy/Large,Reduplication,odoodo,6,4,2,9,4,5,180.0,1.49,5,400.0,2.35,6,c,2,#556B2F,42.2,-18.8,30.6,"Reflecting voiced consonants for a vector configuration of Weight 6, Time 4, and Flow 9.",,4,5,6,1,REDUP(畳語・同一)
おほほ,ohoho,Manner or sound of おほほ: 上品な女性の高らかな笑い voice/cry.,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,ohoho,3,5,8,4,9,4,350.0,3.17,3,1500.0,4.6,3,h,6,#EE82EE,69.7,56.4,-36.8,"Reflecting fricatives for a vector configuration of Weight 3, Time 5, and Flow 4.",,3,5,0,0,OTHER(単発)
おぼおぼ,oboobo,Manner or sound of おぼおぼ: 意識の混濁。高いMoistureと低い周波数。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,oboobo,6,3,2,6,5,8,160.0,1.19,4,800.0,3.53,7,mc,3,#4169E1,47.8,26.3,-65.3,"Reflecting voiced consonants for a vector configuration of Weight 6, Time 3, and Flow 6.",,4,5,6,1,REDUP(畳語・同一)
おめおめ,omeome,Manner or sound of おめおめ: 恥を恥とも思わず平然としている manner.,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,omeome,5,2,2,5,4,7,240.0,2.22,2,300.0,1.87,5,mc,3,#800000,25.5,48.0,38.1,"Reflecting nasal resonance for a vector configuration of Weight 5, Time 2, and Flow 5.",,4,5,6,1,REDUP(畳語・同一)
おろおろ,orooro,Manner or sound of おろおろ: どうしてよいかわからず惑い動く state/manner.,Pathomime (Emotion),Emotion,Negative,Unvoiced (Light),Dark/Heavy/Large,Reduplication,oɾooɾo,5,6,3,5,7,5,260.0,2.42,4,1000.0,3.91,4,c,2,#A9A9A9,69.2,-0.0,0.0,"Reflecting flap consonant /ɾ/ for a vector configuration of Weight 5, Time 6, and Flow 5.",,4,5,6,1,REDUP(畳語・同一)
かあかあ,kaakaa,Manner or sound of かあかあ: カラスの鳴 sound.硬い喉の摩擦と高い空間直接性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,kaakaa,5,4,7,2,6,2,650.0,4.74,3,4500.0,6.47,4,h,6,#000000,0.0,0.0,0.0,"Reflecting unvoiced plosives for a vector configuration of Weight 5, Time 4, and Flow 2.",,4,5,6,1,REDUP(畳語・同一)
かさかさ,kasakasa,Manner or sound of かさかさ: 極端な乾燥。高周波摩擦音による乱流。,Phenomime (Sound),Texture,Neutral,Voiced (Heavy),Bright/Light/Small,Reduplication,kasakasa,1,7,4,3,8,0,1200.0,6.29,6,9000.0,7.64,2,0,4,#D2B48C,75.0,5.0,24.4,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 1, Time 7, and Flow 3.",,4,5,6,1,REDUP(畳語・同一)
かさこそ,kasakoso,Manner or sound of かさこそ: 乾燥した小物体との接触。Reは高い。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,kasakoso,1,6,3,4,8,1,900.0,5.56,5,6000.0,6.95,3,mc,3,#8B4513,37.5,26.4,41.0,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 1, Time 6, and Flow 4.",,5,5,5,8,COMPOUND(複合・異種)
かすかす,kasukasu,Manner or sound of かすかす: 密度不足。完全な乾燥と空気質の流体。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,kasukasu,1,3,2,5,9,0,1500.0,6.86,4,10000.0,7.82,1,c,2,#F5F5F5,96.5,-0.0,0.0,"Reflecting unvoiced plosives and fricatives for a vector configuration of Weight 1, Time 3, and Flow 5.",,4,5,6,1,REDUP(畳語・同一)
かたかた,katakata,Manner or sound of かたかた: 剛体の衝突。高い時間的突発性。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,katakata,3,8,7,7,1,2,500.0,4.07,7,7000.0,7.22,8,c,2,#808080,53.6,-0.0,0.0,"Reflecting unvoiced plosives for a vector configuration of Weight 3, Time 8, and Flow 7.",,4,5,6,1,REDUP(畳語・同一)
かたり,katari,Manner or sound of かたり: 単発の剛体接触。弾き音による余韻。,Psychomime (State/Manner),Dynamics,Neutral,Unvoiced (Light),Neutral,Reduplication,kataɾi,4,7,8,5,2,3,450.0,3.81,6,5000.0,6.65,7,mc,3,#A0522D,43.8,29.3,35.6,"Reflecting unvoiced plosives and flap consonant /ɾ/ for a vector configuration of Weight 4, Time 7, and Flow 5.",,4,6,0,0,RI(り単発)
