word,pronunciation_romaji,cat_bit,dom_bit,pol_code,int_bit,tone_code,morph_bit,ipa_clean,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
いじいじ,ijiiji,4,2048,2,1,2,1,idʑiidʑi,4,3,2,9,3,5,200.0,1.75,5,600.0,3.04,4,c,2,#4B0082,20.5,51.7,-53.3,4,5,6,1,REDUP(畳語・同一)
いそいそ,isoiso,4,2048,1,1,1,1,isoiso,2,7,7,2,8,2,600.0,4.54,4,3500.0,6.04,2,mh,5,#FFFACD,97.6,-5.4,22.2,4,5,6,1,REDUP(畳語・同一)
いちゃいちゃ,ichaicha,4,2064,1,4,1,1,itɕaitɕa,3,4,4,5,6,8,450.0,3.81,4,1500.0,4.6,6,hh,7,#FFC0CB,83.6,24.1,3.3,4,5,6,1,REDUP(畳語・同一)
いひひ,ihihi,1,2048,2,1,1,1,içiçi,2,6,6,7,8,4,750.0,5.1,5,2000.0,5.09,4,mc,3,#ADFF2F,92.0,-52.5,81.9,3,5,0,0,OTHER(単発)
いらいら,iraira,8,2048,2,1,2,1,iɾaiɾa,6,7,6,8,5,2,380.0,3.38,3,5000.0,6.65,5,h,6,#FF4500,57.6,67.8,69.0,4,5,6,1,REDUP(畳語・同一)
うおーっ,uo-t,1,2048,0,1,2,16,uoːʔ,8,4,9,4,4,5,120.0,0.46,8,12000.0,8.13,9,h,6,#FF0000,53.2,80.1,67.2,5,5,5,8,COMPOUND(複合・異種)
うおーん,uo-n,1,8192,2,1,2,16,uoːŋ,7,2,4,2,5,6,110.0,0.24,1,800.0,3.53,3,mh,5,#4682B4,52.5,-4.1,-32.2,5,5,5,8,COMPOUND(複合・異種)
うかうか,ukauka,4,2048,2,1,1,1,ukauka,1,5,2,1,9,2,400.0,3.51,3,1000.0,3.91,1,0,4,#F5F5F5,96.5,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
うきうき,ukiuki,8,2048,1,1,2,1,ukiuki,2,7,6,0,8,3,550.0,4.32,5,2500.0,5.47,2,h,6,#FFFFE0,99.3,-5.1,14.8,4,5,6,1,REDUP(畳語・同一)
うじうじ,ujiuji,4,2048,2,1,2,1,udʑiudʑi,5,2,1,9,4,7,180.0,1.49,2,400.0,2.35,6,c,2,#556B2F,42.2,-18.8,30.6,4,5,6,1,REDUP(畳語・同一)
うじゃうじゃ,ujauja,4,32,2,4,2,1,udʑaudʑa,6,3,3,7,5,8,220.0,2.0,3,1800.0,4.91,8,mc,3,#8B4513,37.5,26.4,41.0,4,5,6,1,REDUP(畳語・同一)
うずうず,uzuuzu,8,2048,0,1,2,1,uzuuzu,5,6,7,9,3,4,250.0,2.32,4,3000.0,5.78,7,h,6,#DAA520,70.8,8.5,68.8,4,5,6,1,REDUP(畳語・同一)
うっ,ut,16,16384,2,2,2,2,uʔ,7,9,9,9,1,1,300.0,2.78,9,10000.0,7.82,9,0,4,#000000,0.0,0.0,0.0,2,5,0,0,Q(促音単発)
うっかり,utkari,4,2048,2,4,1,8,ukkaɾi,3,8,5,6,4,2,480.0,3.97,7,3500.0,6.04,5,0,4,#FFFFFF,100.0,-0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
うっすら,utsura,4,16,1,1,1,8,ussuɾa,2,3,2,4,8,3,420.0,3.63,3,900.0,3.73,2,c,2,#E6E6FA,91.8,3.7,-9.7,5,5,5,8,COMPOUND(複合・異種)
うっとり,uttori,8,2048,1,1,1,8,uttoɾi,3,2,4,0,6,6,350.0,3.17,4,800.0,3.53,4,hh,7,#DDA0DD,73.4,32.5,-22.0,5,5,5,8,COMPOUND(複合・異種)
うつらうつら,utsurautsura,4,16384,0,4,2,1,utsuɾautsuɾa,2,2,2,5,7,5,280.0,2.61,4,600.0,3.04,3,mc,3,#B0C4DE,78.5,-1.3,-15.2,4,5,6,1,REDUP(畳語・同一)
うとうと,utouto,4,16384,0,1,2,1,utouto,2,2,1,6,6,4,250.0,2.32,5,400.0,2.35,2,mc,3,#778899,55.9,-2.2,-11.1,4,5,6,1,REDUP(畳語・同一)
うねうね,uneune,4,2,0,4,2,1,uneune,4,3,1,4,8,7,200.0,1.75,1,700.0,3.31,5,mc,3,#556B2F,42.2,-18.8,30.6,4,5,6,1,REDUP(畳語・同一)
うはうは,uhauha,8,2048,1,1,1,1,uhauha,3,6,5,0,9,5,450.0,3.81,3,2200.0,5.25,3,hh,7,#FFD700,86.9,-1.9,87.1,4,5,6,1,REDUP(畳語・同一)
うふふ,ufufu,4,2,0,1,0,1,uɸuɸu,2,4,3,7,8,6,380.0,3.38,4,1200.0,4.22,4,mh,5,#FFF0F5,96.1,5.9,-0.6,3,5,0,0,OTHER(単発)
うようよ,uyouyo,4,32,2,1,2,1,ujoujo,5,3,2,6,6,8,180.0,1.49,2,1500.0,4.6,8,mc,3,#6B8E23,54.7,-28.2,49.7,4,5,6,1,REDUP(畳語・同一)
うらうら,uraura,4,2,0,1,0,1,uɾauɾa,1,2,1,2,8,4,320.0,2.94,1,500.0,2.73,1,hh,7,#FFFACD,97.6,-5.4,22.2,4,5,6,1,REDUP(畳語・同一)
うろうろ,urouro,4,2,0,1,2,1,uɾouɾo,4,4,2,4,7,4,280.0,2.61,3,900.0,3.73,4,0,4,#A9A9A9,69.2,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
うろちょろ,urochoro,4,8,2,1,1,1,uɾotɕoɾo,3,7,6,5,6,3,480.0,3.97,5,2800.0,5.66,5,mc,3,#9ACD32,76.5,-38.0,66.6,5,5,5,8,COMPOUND(複合・異種)
うわーん,uwa-n,1,2048,2,1,2,16,uwaːŋ,7,4,6,3,5,8,400.0,3.51,1,1500.0,4.6,5,h,6,#1E90FF,59.4,10.0,-63.4,5,5,5,8,COMPOUND(複合・異種)
うん,un,1,64,1,1,2,2,uŋ,4,5,7,6,3,5,150.0,1.03,5,400.0,2.35,6,mc,3,#808080,53.6,-0.0,0.0,3,6,0,0,N(撥音単発)
うんうん,unun,4,2,0,1,0,1,uŋuŋ,3,4,4,5,4,6,160.0,1.19,4,300.0,1.87,5,mh,5,#A52A2A,37.5,49.7,30.5,4,5,6,1,REDUP(畳語・同一)
うんざり,unzari,8,2048,2,4,2,8,uŋzaɾi,7,3,4,8,4,6,220.0,2.0,6,800.0,3.53,7,c,2,#483D8B,30.8,26.1,-42.1,5,5,5,8,COMPOUND(複合・異種)
うーん,u-n,4,2,0,1,0,1,uːŋ,5,1,2,7,3,6,140.0,0.85,0,200.0,1.18,8,mc,3,#696969,44.4,-0.0,0.0,3,8,5,1,LONG+N(長音+ん)
えごえご,egoego,4,2,0,1,0,1,eɡoeɡo,6,4,3,6,5,7,180.0,1.49,4,1100.0,4.07,6,c,2,#4B0082,20.5,51.7,-53.3,4,5,6,1,REDUP(畳語・同一)
えっさえっさ,etsaetsa,4,2,0,1,0,1,essaessa,5,8,8,3,6,4,400.0,3.51,6,5000.0,6.65,4,h,6,#FF8C00,69.5,36.8,75.5,4,5,6,1,REDUP(畳語・同一)
えっさっさ,etsatsa,4,2,0,1,0,1,essassa,4,9,9,4,5,3,450.0,3.81,8,6000.0,6.95,5,h,6,#FF4500,57.6,67.8,69.0,2,5,0,0,Q(促音単発)
えっちらおっちら,etchiraotchira,4,514,2,4,2,1,ettɕiɾaottɕiɾa,6,5,3,5,5,5,300.0,2.78,4,900.0,3.73,6,mh,5,#CD853F,61.8,21.4,47.9,2,5,0,0,Q(促音単発)
えへへ,ehehe,1,2048,1,1,1,1,ehehe,2,5,3,4,9,5,420.0,3.63,3,1200.0,4.22,2,h,6,#F0E68C,90.3,-9.0,45.0,3,5,0,0,OTHER(単発)
えへん,ehen,4,2,0,1,0,1,eheŋ,5,6,7,7,4,4,200.0,1.75,6,1800.0,4.91,7,mc,3,#8B0000,28.1,51.0,41.3,3,6,0,0,N(撥音単発)
おいおい,oioi,1,2048,2,1,1,1,oioi,4,4,4,3,6,7,280.0,2.61,4,700.0,3.31,4,mc,3,#4682B4,52.5,-4.1,-32.2,4,5,6,1,REDUP(畳語・同一)
おずおず,ozuozu,4,2048,2,4,2,1,ozuozu,4,3,1,9,3,5,200.0,1.75,5,400.0,2.35,5,c,2,#708090,52.8,-2.1,-10.6,4,5,6,1,REDUP(畳語・同一)
おたおた,otaota,4,2048,2,1,1,1,otaota,4,7,3,6,6,3,380.0,3.38,6,1500.0,4.6,4,mc,3,#BDB76B,73.4,-8.8,39.3,4,5,6,1,REDUP(畳語・同一)
おちおち,ochiochi,4,2,0,1,0,1,otɕiotɕi,3,4,4,7,6,6,400.0,3.51,5,1200.0,4.22,5,mc,3,#708090,52.8,-2.1,-10.6,4,5,6,1,REDUP(畳語・同一)
おっとり,ottori,4,2048,1,1,2,8,ottoɾi,2,1,2,0,7,6,300.0,2.78,4,600.0,3.04,3,mh,5,#FFB6C1,81.1,28.0,5.0,5,5,5,8,COMPOUND(複合・異種)
おどおど,odoodo,8,2048,2,1,2,1,odoodo,6,4,2,9,4,5,180.0,1.49,5,400.0,2.35,6,c,2,#556B2F,42.2,-18.8,30.6,4,5,6,1,REDUP(畳語・同一)
おほほ,ohoho,4,2,0,1,0,1,ohoho,3,5,8,4,9,4,350.0,3.17,3,1500.0,4.6,3,h,6,#EE82EE,69.7,56.4,-36.8,3,5,0,0,OTHER(単発)
おぼおぼ,oboobo,4,2,0,1,0,1,oboobo,6,3,2,6,5,8,160.0,1.19,4,800.0,3.53,7,mc,3,#4169E1,47.8,26.3,-65.3,4,5,6,1,REDUP(畳語・同一)
おめおめ,omeome,4,2,0,1,0,1,omeome,5,2,2,5,4,7,240.0,2.22,2,300.0,1.87,5,mc,3,#800000,25.5,48.0,38.1,4,5,6,1,REDUP(畳語・同一)
おろおろ,orooro,8,2048,2,1,2,1,oɾooɾo,5,6,3,5,7,5,260.0,2.42,4,1000.0,3.91,4,c,2,#A9A9A9,69.2,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
かあかあ,kaakaa,4,2,0,1,0,1,kaakaa,5,4,7,2,6,2,650.0,4.74,3,4500.0,6.47,4,h,6,#000000,0.0,0.0,0.0,4,5,6,1,REDUP(畳語・同一)
かさかさ,kasakasa,2,1,0,2,1,1,kasakasa,1,7,4,3,8,0,1200.0,6.29,6,9000.0,7.64,2,0,4,#D2B48C,75.0,5.0,24.4,4,5,6,1,REDUP(畳語・同一)
かさこそ,kasakoso,4,2,0,1,0,1,kasakoso,1,6,3,4,8,1,900.0,5.56,5,6000.0,6.95,3,mc,3,#8B4513,37.5,26.4,41.0,5,5,5,8,COMPOUND(複合・異種)
かすかす,kasukasu,4,2,0,1,0,1,kasukasu,1,3,2,5,9,0,1500.0,6.86,4,10000.0,7.82,1,c,2,#F5F5F5,96.5,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
かたかた,katakata,4,2,0,1,0,1,katakata,3,8,7,7,1,2,500.0,4.07,7,7000.0,7.22,8,c,2,#808080,53.6,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
かたり,katari,4,2,0,1,0,1,kataɾi,4,7,8,5,2,3,450.0,3.81,6,5000.0,6.65,7,mc,3,#A0522D,43.8,29.3,35.6,4,6,0,0,RI(り単発)
かたん,katan,4,2,0,1,0,1,kataŋ,5,8,9,6,2,4,300.0,2.78,7,3000.0,5.78,9,mc,3,#2F4F4F,31.3,-11.7,-3.7,3,6,0,0,N(撥音単発)
かちかち,kachikachi,2,8,0,4,1,1,katɕikatɕi,4,8,8,8,0,1,1800.0,7.32,8,12000.0,8.13,9,c,2,#C0C0C0,77.7,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
かちっ,kachit,4,2,0,1,0,1,katɕiʔ,4,9,9,9,0,1,2000.0,7.58,9,15000.0,8.51,9,0,4,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
かちゃかちゃ,kachakacha,2,1,0,1,1,1,katɕakatɕa,3,8,6,5,1,2,2500.0,8.15,7,13000.0,8.27,7,c,2,#D3D3D3,84.6,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
かちん,kachin,4,2,0,1,0,1,katɕiŋ,6,8,9,9,0,2,1600.0,7.02,8,9000.0,7.64,9,c,2,#4682B4,52.5,-4.1,-32.2,3,6,0,0,N(撥音単発)
かちんかちん,kachinkachin,4,2,0,1,0,1,katɕiŋkatɕiŋ,7,8,8,9,0,1,1500.0,6.86,8,8000.0,7.44,9,cc,1,#E0FFFF,97.9,-9.9,-3.4,4,5,6,1,REDUP(畳語・同一)
かっ,kat,4,2,0,1,0,1,kaʔ,7,9,9,8,3,1,800.0,5.26,9,18000.0,8.82,9,hh,7,#FF0000,53.2,80.1,67.2,2,5,0,0,Q(促音単発)
かっきり,katkiri,4,2,0,1,0,1,kakkiɾi,4,8,9,7,2,2,700.0,4.93,8,6000.0,6.95,8,0,4,#000000,0.0,0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
かっちり,katchiri,4,2,0,1,0,1,kattɕiɾi,5,8,9,8,1,3,650.0,4.74,7,5000.0,6.65,9,0,4,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(複合・異種)
かっちんかっちん,katchinkatchin,4,2,0,1,0,1,kattɕiŋkattɕiŋ,8,8,8,9,0,1,1400.0,6.68,8,7000.0,7.22,9,cc,1,#AFEEEE,90.1,-19.6,-6.4,4,5,6,1,REDUP(畳語・同一)
かつかつ,katsukatsu,4,8,2,2,1,1,katsukatsu,5,7,7,6,2,1,600.0,4.54,7,4000.0,6.27,7,mc,3,#696969,44.4,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
からから,karakara,4,2,0,1,0,1,kaɾakaɾa,3,6,4,3,7,0,550.0,4.32,5,3500.0,6.04,3,0,4,#F4A460,74.0,23.0,46.8,4,5,6,1,REDUP(畳語・同一)
からころ,karakoro,4,2,0,1,0,1,kaɾakoɾo,4,6,5,4,4,1,400.0,3.51,5,3000.0,5.78,4,mc,3,#8B4513,37.5,26.4,41.0,5,5,5,8,COMPOUND(複合・異種)
からっと,karatto,4,2,0,1,0,1,kaɾatto,2,8,7,4,8,0,700.0,4.93,8,8000.0,7.44,6,h,6,#87CEEB,79.2,-14.8,-21.3,5,5,5,8,COMPOUND(複合・異種)
からり,karari,4,2,0,1,0,1,kaɾaɾi,2,5,5,2,9,1,600.0,4.54,5,2500.0,5.47,4,h,6,#FFFFFF,100.0,-0.0,0.0,4,6,0,0,RI(り単発)
からんからん,karankaran,4,2,0,1,0,1,kaɾaŋkaɾaŋ,4,5,6,3,3,2,450.0,3.81,4,2800.0,5.66,6,mc,3,#B8860B,59.2,9.9,62.7,4,5,6,1,REDUP(畳語・同一)
かりかり,karikari,4,2,0,1,0,1,kaɾikaɾi,3,8,6,7,2,0,1500.0,6.86,8,11000.0,7.98,5,c,2,#CD853F,61.8,21.4,47.9,4,5,6,1,REDUP(畳語・同一)
かんかん,kankan,4,2,0,1,0,1,kaŋkaŋ,6,7,9,6,1,2,900.0,5.56,5,6500.0,7.09,8,hhh,8,#FF4500,57.6,67.8,69.0,4,5,6,1,REDUP(畳語・同一)
かーかー,ka-ka-,4,2,0,1,0,1,kaːkaː,5,4,6,2,6,2,600.0,4.54,1,4000.0,6.27,3,h,6,#000000,0.0,0.0,0.0,4,5,6,1,REDUP(畳語・同一)
かーん,ka-n,4,2,0,1,0,1,kaːŋ,4,3,9,2,2,3,1200.0,6.29,2,5000.0,6.65,9,h,6,#FFD700,86.9,-1.9,87.1,3,8,5,1,LONG+N(長音+ん)
かーんかーん,ka-nka-n,4,2,0,1,0,1,kaːŋkaːŋ,5,4,9,3,2,3,1100.0,6.07,2,5500.0,6.81,9,h,6,#DAA520,70.8,8.5,68.8,4,5,6,1,REDUP(畳語・同一)
がくがく,gakugaku,4,16386,2,1,2,1,ɡakuɡaku,7,7,4,8,3,4,180.0,1.49,7,4500.0,6.47,6,c,2,#A9A9A9,69.2,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
がくん,gakun,4,2,0,1,0,1,ɡakuŋ,8,9,8,9,3,3,140.0,0.85,9,7000.0,7.22,8,mc,3,#000000,0.0,0.0,0.0,3,6,0,0,N(撥音単発)
がさがさ,gasagasa,2,1,2,1,2,1,ɡasaɡasa,5,7,4,4,6,0,400.0,3.51,6,8000.0,7.44,5,0,4,#8B4513,37.5,26.4,41.0,4,5,6,1,REDUP(畳語・同一)
がさっ,gasat,4,2,0,1,0,1,ɡasaʔ,6,9,8,8,5,1,450.0,3.81,9,10000.0,7.82,8,0,4,#556B2F,42.2,-18.8,30.6,2,5,0,0,Q(促音単発)
がしっ,gashit,4,2,0,1,0,1,ɡaɕiʔ,8,9,9,9,2,2,500.0,4.07,9,12000.0,8.13,9,mc,3,#4682B4,52.5,-4.1,-32.2,2,5,0,0,Q(促音単発)
がしゃがしゃ,gashagasha,2,1,2,1,2,1,ɡaɕaɡaɕa,6,8,5,6,3,2,1200.0,6.29,7,14000.0,8.39,8,c,2,#708090,52.8,-2.1,-10.6,4,5,6,1,REDUP(畳語・同一)
がしゃっ,gashat,4,2,0,1,0,1,ɡaɕaʔ,7,9,8,9,2,2,1000.0,5.83,9,16000.0,8.62,9,c,2,#778899,55.9,-2.2,-11.1,2,5,0,0,Q(促音単発)
がたがた,gatagata,2,2,2,1,2,1,ɡataɡata,7,8,6,7,2,3,220.0,2.0,7,5000.0,6.65,7,c,2,#696969,44.4,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
がたっと,gatatto,4,2,0,1,0,1,ɡatatto,8,9,8,8,2,3,200.0,1.75,9,8000.0,7.44,8,mc,3,#000000,0.0,0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
がたぴし,gatapishi,4,2,0,1,0,1,ɡatapiɕi,5,6,5,7,4,2,600.0,4.54,6,6000.0,6.95,6,mc,3,#8B4513,37.5,26.4,41.0,5,5,5,8,COMPOUND(複合・異種)
がたり,gatari,4,2,0,1,0,1,ɡataɾi,6,7,7,6,3,4,250.0,2.32,6,4000.0,6.27,6,mc,3,#556B2F,42.2,-18.8,30.6,4,6,0,0,RI(り単発)
がたん,gatan,4,2,0,1,0,1,ɡataŋ,8,8,9,8,2,5,180.0,1.49,7,3500.0,6.04,9,mc,3,#2F4F4F,31.3,-11.7,-3.7,3,6,0,0,N(撥音単発)
がちがち,gachigachi,4,1,2,4,2,1,ɡatɕiɡatɕi,8,8,9,9,0,1,1200.0,6.29,9,10000.0,7.82,9,cc,1,#B0E0E6,86.1,-14.1,-8.0,4,5,6,1,REDUP(畳語・同一)
がちゃがちゃ,gachagacha,2,1,2,1,2,1,ɡatɕaɡatɕa,5,8,6,6,2,3,1400.0,6.68,7,12000.0,8.13,7,mc,3,#708090,52.8,-2.1,-10.6,4,5,6,1,REDUP(畳語・同一)
がちゃん,gachan,4,2,0,1,0,1,ɡatɕaŋ,7,9,9,8,1,4,800.0,5.26,8,9000.0,7.64,9,mc,3,#4682B4,52.5,-4.1,-32.2,3,6,0,0,N(撥音単発)
がっ,gat,4,2,0,1,0,1,ɡaʔ,9,9,9,9,4,2,350.0,3.17,9,15000.0,8.51,9,mc,3,#000000,0.0,0.0,0.0,2,5,0,0,Q(促音単発)
がっかり,gatkari,8,2048,2,1,2,8,ɡakkaɾi,7,6,4,5,6,4,300.0,2.78,7,1200.0,4.22,5,c,2,#4B0082,20.5,51.7,-53.3,5,5,5,8,COMPOUND(複合・異種)
がっくり,gatkuri,4,2,0,1,0,1,ɡakkuɾi,8,7,3,6,5,4,200.0,1.75,8,1000.0,3.91,6,c,2,#000000,0.0,0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
がっしり,gatshiri,4,513,1,4,2,8,ɡaɕɕiɾi,8,5,9,9,2,3,400.0,3.51,5,3000.0,5.78,9,mc,3,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(複合・異種)
がっちり,gatchiri,4,2,0,1,0,1,ɡattɕiɾi,7,6,9,9,1,3,500.0,4.07,6,4000.0,6.27,9,mc,3,#4682B4,52.5,-4.1,-32.2,5,5,5,8,COMPOUND(複合・異種)
がっぷり,gatpuri,4,2,0,1,0,1,ɡappuɾi,9,6,8,7,4,7,220.0,2.0,5,2000.0,5.09,8,mh,5,#A52A2A,37.5,49.7,30.5,5,5,5,8,COMPOUND(複合・異種)
がっぽり,gatpori,4,2,0,1,0,1,ɡappoɾi,6,5,7,3,7,8,250.0,2.32,4,1500.0,4.6,7,mh,5,#FFD700,86.9,-1.9,87.1,5,5,5,8,COMPOUND(複合・異種)
がつがつ,gatsugatsu,4,256,2,4,2,1,ɡatsuɡatsu,7,8,8,7,3,3,400.0,3.51,7,6000.0,6.95,7,h,6,#B22222,39.1,55.9,37.6,4,5,6,1,REDUP(畳語・同一)
がつん,gatsun,4,2,0,1,0,1,ɡatsuŋ,9,9,9,9,2,4,300.0,2.78,9,11000.0,7.98,9,h,6,#8B0000,28.1,51.0,41.3,3,6,0,0,N(撥音単発)
がばがば,gabagaba,4,1,2,1,2,1,ɡabaɡaba,5,4,3,2,8,9,150.0,1.03,3,2000.0,5.09,9,mc,3,#4169E1,47.8,26.3,-65.3,4,5,6,1,REDUP(畳語・同一)
がばっ,gabat,4,2,0,1,0,1,ɡabaʔ,7,9,8,4,6,6,350.0,3.17,9,9000.0,7.64,8,mh,5,#FF8C00,69.5,36.8,75.5,2,5,0,0,Q(促音単発)
がぶがぶ,gabugabu,2,256,2,4,2,1,ɡabuɡabu,6,5,4,4,8,9,180.0,1.49,4,1800.0,4.91,9,mc,3,#0000FF,32.3,79.2,-107.9,4,5,6,1,REDUP(畳語・同一)
がぶっ,gabut,4,2,0,1,0,1,ɡabuʔ,7,9,9,8,5,8,280.0,2.61,9,8000.0,7.44,9,mh,5,#FF4500,57.6,67.8,69.0,2,5,0,0,Q(促音単発)
がぶり,gaburi,4,2,0,1,0,1,ɡabuɾi,6,6,7,5,6,7,250.0,2.32,6,4000.0,6.27,8,mh,5,#8B4513,37.5,26.4,41.0,4,6,0,0,RI(り単発)
がぼがぼ,gabogabo,4,2,0,1,0,1,ɡaboɡabo,6,4,2,3,9,9,120.0,0.46,2,1200.0,4.22,9,c,2,#191970,15.9,31.7,-49.6,4,5,6,1,REDUP(畳語・同一)
がみがみ,gamigami,1,64,2,1,2,1,ɡamiɡami,7,7,8,8,4,5,450.0,3.81,4,3000.0,5.78,6,h,6,#FF0000,53.2,80.1,67.2,4,5,6,1,REDUP(畳語・同一)
がやがや,gayagaya,1,32,2,1,1,1,ɡajaɡaja,4,6,3,2,8,6,380.0,3.38,3,5500.0,6.81,7,mh,5,#DAA520,70.8,8.5,68.8,4,5,6,1,REDUP(畳語・同一)
がらがら,garagara,2,514,2,1,2,1,ɡaɾaɡaɾa,6,5,4,2,7,2,320.0,2.94,4,4500.0,6.47,5,mc,3,#8B4513,37.5,26.4,41.0,4,5,6,1,REDUP(畳語・同一)
がらり,garari,4,2,0,1,2,8,ɡaɾaɾi,4,7,7,3,9,2,450.0,3.81,6,3000.0,5.78,4,h,6,#FFFFFF,100.0,-0.0,0.0,4,6,0,0,RI(り単発)
がらん,garan,4,2,0,1,0,1,ɡaɾaŋ,3,4,8,2,7,3,280.0,2.61,5,1500.0,4.6,4,c,2,#D3D3D3,84.6,-0.0,0.0,3,6,0,0,N(撥音単発)
がりがり,garigari,4,1,2,1,2,1,ɡaɾiɡaɾi,5,8,7,8,2,0,800.0,5.26,8,9000.0,7.64,6,c,2,#CD853F,61.8,21.4,47.9,4,5,6,1,REDUP(畳語・同一)
がんがん,gangan,16,16384,2,1,2,1,ɡaŋɡaŋ,8,8,9,6,1,3,350.0,3.17,5,8000.0,7.44,9,h,6,#FF4500,57.6,67.8,69.0,4,5,6,1,REDUP(畳語・同一)
がーがー,ga-ga-,4,2,0,1,0,1,ɡaːɡaː,7,3,5,3,6,4,220.0,2.0,1,2500.0,5.47,6,mh,5,#556B2F,42.2,-18.8,30.6,4,5,6,1,REDUP(畳語・同一)
がーっ,ga-t,2,4098,2,2,2,16,ɡaːʔ,8,6,9,7,5,4,350.0,3.17,9,12000.0,8.13,9,h,6,#FF0000,53.2,80.1,67.2,2,7,7,1,LONG(長音ー)
がーん,ga-n,2,2050,2,4,2,16,ɡaːŋ,9,4,9,5,3,5,200.0,1.75,2,6000.0,6.95,9,c,2,#483D8B,30.8,26.1,-42.1,3,8,5,1,LONG+N(長音+ん)
きいきい,kiikii,4,2,0,1,0,1,kiikii,2,4,7,8,4,1,2500.0,8.15,2,15000.0,8.51,4,c,2,#FFFF00,97.1,-21.6,94.5,4,5,6,1,REDUP(畳語・同一)
きしきし,kishikishi,4,2,0,1,0,1,kiɕikiɕi,3,7,5,9,3,2,1800.0,7.32,7,11000.0,7.98,5,c,2,#BDB76B,73.4,-8.8,39.3,4,5,6,1,REDUP(畳語・同一)
きそきそ,kisokiso,4,2,0,1,0,1,kisokiso,1,5,2,8,6,2,1200.0,6.29,4,7000.0,7.22,3,c,2,#708090,52.8,-2.1,-10.6,4,5,6,1,REDUP(畳語・同一)
きちきち,kichikichi,4,32,2,2,1,1,kitɕikitɕi,4,7,8,9,2,2,1400.0,6.68,8,9000.0,7.64,8,c,2,#C0C0C0,77.7,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
